,,STUDY DETAILS,,,Study Characteristics,,,,,Population Characteristics,,,,,,,,,,Disease Characteristics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investigations and Tests,,,,,,,,,,,,,,,,,,,,,,,,,Sampling and Analysis,,,Additional Relevant Information ,,Notes ,,,
12594,MC,Harrison,2023,USA,longitudinal observational study,assess if rituximab minimises disease progression in SPSD,69,mean,49,SD,13.6,,,,,,,,,multiple,"At baseline, 97% self-reported gait difficulties, 88% had objective gait abnormalities",,,,,,,,,,,,mean (SD) modified Rankin score was 3.0 (0.83),,,,"The median and maximum follow-up times were 1.1y and 9.4y, respectively.",,,,,,,,,,,,,,,,,,,,,,,,RXB,,,"The median (IQR) years between symptom onset and rituximab exposure was 9.17y (4.46y, 13.26y).","Based on global scores over the follow-up period, 37 (58.7%) improved, 21 (33.3%) stabilized, and 5 (7.9%) worsened after rituximab exposure.",,,,,,,,,,,,,,,,,,,,
1380,MC,Ladha,2014,USA,retrospective cohort study,"collect patient-reported therapy responses as a complement to clinical evaluation, and to assess whether or not these measures are of use in evaluating therapeutic efficacy of IVIG for SPS",34,,,,,,,,Stiff_Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IVIG,,,,"Preliminary analysis of the subjective outcomes data collected indicates that 27% of patients reported improvement, 27% improved then relapsed, 31% were stable, and 8% worsened between infusions. Patient- reported overall response to therapy suggests that 57% were “better”, 19% remained the “same”, and 13% were “worse” compared to before IVIG treatment.",,,,,,,,,,,,,,,,,,,,
1668,MC,Moukeiber,2019,USA,observational cohort study,describe the safety and utility of botulinum toxin in mitigating muscle spasms/rigidity in Stiff Person Syndrome,20,,,,,,,15,Stiff_Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,botulinumtoxin,,,"Our cohort had varied injection sites, including paraspinals 35%, lower extremity 40%, cervical 10%, hand 5%, and abdominal muscles 5%.","Robust response was reported in 30% (6/20), 25% (5/20) reported moderate response, and 40% (8/20) reported poor response amongst which 25% (2/8) had an initial moderate response which abated. Although not consistently recorded, around 25% of our patients were able to decrease their oral medication burden. Among the responders 80% continued with injections. In our study, 55% of patients had a positive response to onabotulinum toxin with subjective improvement in spasms and/or pain along with improvement in quality of life.",,,,,,,,,,,,,,,
116,MC,Gadian,2015,UK,observational cohort study,Report the clinical features and outcomes of children with GlyR-Abs,6,mean,7.5,median,range 1-15,,,0,PERM,,,,"refractory focal seizures
(n=2), or cognitive/behavioural changes (n=4) of whom two had
tremor and gait abnormalities and one features of PERM",,,,,,,,"Electroencephalogram (EEG)
during the illness revealed features of encephalopathy (n=3) and
focal/multifocal epileptiform discharges (n=2).",,,,,,,,,,,immunotherapy,GlyR;other,,"Co-occurrence of low levels (<400 pmol) VGKC-Abs
were identified in 2 patients, and no further neuronal surface
antibodies or GAD-Abs were found.",,,,,,"Intrathecal oligoclonal bands
were identified in 1/5 tested.",GlyR (n=2),,,,,1,"Two children had
early imaging features of brain inflammation, and in another 2,
global atrophy were identified on serial imaging despite normal
acute scans.",,,,,,,NA,,,,"Immune modulation improved
seizure control transiently in one patient.",,,,,,,,,,,,,,,,,,,,
12473,MC,Rodrigues,2021,Portugal,retrospective cohort study,clinical characterisation of SPS,4,mean,47,NA,,,,25,"Stiff_Person (n=3), PERM (n=1)",,,,,stiffness;startle,,,,,,,multiple,stiffness;startle;seizures;ataxia;hyperreflexia;dysphagia,"1 patient with ataxia, seizures, hyperreflexia and dysphagia. No autonomic or oculomotor signs.",multiple,Axial: 4 (all patients). Limbs: 3. ,,,,,,,,"Ma2 (1), GAD65 (3), amphiphysin (1)",,,,,,,,,,,"2 normal, 2 CMUA",,,1,1 patient: no abnormalities. 1 patient: T2 hyperintense bilateral mesial temporal lesions. 1 patients: cerebellar atrophy,1 with SCLC diagnosed 2 years after SPS onset,,,,,,multiple,"steroids and IVIG: n=2. IVIG and cancer treatment: n=1. Steroids, IVIG, RXB: n=1",,,"3 patients: almost complete sustained response to immunotherapy. 1 patient: improvement after cancer surgery, died 3 years later due to metastatic disease.",,,,,,,,,,,,,,,,retrospective,Conference abstract. It isn't clear which feature belonged to which individual patient.,,,
12554,MC,Roman,2023,USA,retrospective cohort study,"To characterize the distribution, number and frequency
of muscles injected, dosages used, and clinical response to
BoNT in people with SPS.",20,,,,,mixed,white (70%),35,Stiff_Person,,,,,,,,,,,,,,,,,,,,,,,both,"GAD (n=19), amphiphysin (n=1)",,,,,,,,,,,,,,,,,,,,,,other,"n=19 with immunotherapy, n=1 without",,,,,,,,,,botulinumtoxin,,"Nineteen patients reported improvement in stiffness
and/or spasms after the first injection with effect lasting a
median of 9 weeks. Median patient-reported Likert rating
after the first visit was 4 (IQR 3.5-4.5) and after the third
visit was 5 (IQR 4.5-5). Median change in timed 25-foot
walk between visits 1 and 3 was -0.54 seconds (IQR
-2.87-1.10).","Common patterns of injected muscles
included cranio-cervical, thoracic/back, hip/pelvis, and distal
lower extremity muscle groups, with median total doses
injected being 257.5 units (IQR 188.8-300.0) at visit 1 and
447.5 units (IQR 292.5-600.0) at visit 3. Muscles were
selected based on patient-specific phenomenological presentation.
Doses up to 795 units were used without adverse
effects.",,,,,,,"conference abstract, most data missing",,,
12679,MC,Roman,2023,USA,retrospective cohort study,Determine brain FDG-PET patterns in SPS,10,median,51,NA,15.8,mixed,africa (60%),60,Stiff_Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all patients had at least 1 region of dysmetabolism on initial brain FDG-PET and in at least 3 regions on follow-up,,,,,
6732,MC,Rosati,2009,Italy,prospective sleep lab study,polysomnography of SPS,5,,,,,,,,"Stiff_Person (n=3), Stiff_Limb (n=2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sleep patterns were similar in all patients and were characterised by: long sleep latency; total sleep time reduction; frequent awakenings and EEG arousals; absence of stage 3 and 4 of NREMS; and REM sleep reduction. These findings were not related to leg myoclonus and apnea presence, indicating a disturbance of induction and maintenance of sleep similar to the changes produced by the GABAA receptor dysfunction. No differences in EEG sleep pattern were found with regard to the severity and duration of the disease and between SPS and SLS cases. This suggests an early involvement of both forebrain and GABA also in variants whose spasms and rigidity of limbs mimic a spinal origin.",,,,,
434,MC,Raju,2006,USA,retrospective cohort study,search for SPS biomarkers,27,mean,53,range,range 30-75,,,30,Stiff_Person,,Dalakas criteria,,,stiffness;spasms,,,axial,,,present,multiple,"epilepsy (n=4), encephalopathy (1), cerebellar ataxia (5)",,axial,,,,axial,,,,,other,GABARP in 70% (n= 19 out of 27),,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6691,MC,Rakocevic,2005,USA,retrospective cohort study,describe SPS with cerebellar ataxia and GAD antibodies,4,,,,,,,,SPS with ataxia,,Dalakas criteria with cerebellar ataxia,,,stiffness;spasms,,,axial,,,present,ataxia,,,axial,,,,,,,,,GAD,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12288,MC,Seefried,2023,Germany, cohort study,describe MRI changes in SPS,25,,,,,,,,Stiff_Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,lower cortical thickness in superior frontal gyrus. Lower GABA in the insular cortex in GABA spectroscopy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
