paper_id,covidence_id,title,authors,source_filename,source_text_json_path,candidate_json_path,n_pages,abstract_block_count,title_like_line_count,author_like_line_count,program_marker_count,proceedings_signal_score,proceedings_detected,trim_workflow_version,trim_workflow_stage,trim_status,trim_reason,trim_method,trim_mode,matched_block_code,matched_block_title,title_score,author_score,match_score,start_rule,end_rule,start_page_index,end_page_index,start_line_global_index,end_line_global_index_exclusive,candidate_count,baseline_candidate_id,overshoot_candidate_id,candidate_ids,candidate_heuristics,candidate_end_indices,candidate_end_pages,llm_routing_recommended,llm_routing_reason,created_at_utc
1407,1407,Increased cortical excitability in patients with stiff person syndrome assessed by paired-pulse transcranial magnetic stimulation. A case study of two patients,Wilenius J.; Vaalto S.; Toppila J.; Partanen J.,1407_Wilenius P1022 Increased cortical excitability.pdf,data\extraction_json\text\1407.json,data\extraction_json\text_trimmed_llm_candidates\1407.json,1,3,14,11,1,8,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 1 ordered end candidates. Baseline candidate quality: trimmed_auto.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P1022,P1022 Increased cortical excitability in patients with stiff person syndrome assessed by paired-pulse transcranial magnetic stimulation. A case study of two patients,0.9935,1.0,0.9951,,,0,,33,65,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,tail_metadata_trim_end,65,0,true,route_all_to_llm_v1,2026-04-12T22:16:51.612484+00:00
1437,1437,Acute lower limb spasticity: Stiff person syndrome responsive to immunomodulatory therapy in an adolescent female,Ogilvie R.; Kolski H.,1437_Ogilvie R. and Kolski H. - 2017 - Acute lower limb spasticity Stiff person syndrome.pdf,data\extraction_json\text\1437.json,data\extraction_json\text_trimmed_llm_candidates\1437.json,1,3,15,4,0,3,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 1 ordered end candidates. Baseline candidate quality: trimmed_auto.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P.026,P.026 Acute lower limb spasticity: Stiff person syndrome responsive to immunomodulatory therapy in an adolescent female R Ogilvie (Edmonton)* H Kolski (Edmonton),0.9436,1.0,0.9577,,,0,,5,33,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,tail_metadata_trim_end,33,0,true,route_all_to_llm_v1,2026-04-12T22:16:51.624038+00:00
1452,1452,A stiff diagnosis: An unusual case of low back pain,Patel K.G.; Montero-Cruz F.-R.L.; Vishnubhakat S.M.,1452_Patel-2017-A stiff diagnosis_ An unusual case.pdf,data\extraction_json\text\1452.json,data\extraction_json\text_trimmed_llm_candidates\1452.json,1,1,6,7,0,3,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 2 ordered end candidates. Baseline candidate quality: trimmed_auto.,page_local_sliding_window_match,page_local_sliding_window_match,Poster 321,A Stiff Diagnosis: An Unusual Case of Low Back Pain,1.0,0.3333,0.6711,backtrack_abstract_boundary,next_abstract_boundary,0,,3,44,2,cand_01_current_selected_end,cand_02_tail_metadata_trim_end,cand_01_current_selected_end|cand_02_tail_metadata_trim_end,current_selected_end|tail_metadata_trim_end,44|125,0|0,true,route_all_to_llm_v1,2026-04-12T22:16:51.635281+00:00
1453,1453,Stiff person syndrome without axial stiffness or hyperekplexia: A case report,Lee M.,1453_Lee-2017-Stiff person syndrome without axial s.pdf,data\extraction_json\text\1453.json,data\extraction_json\text_trimmed_llm_candidates\1453.json,1,1,8,9,0,3,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 2 ordered end candidates. Baseline candidate quality: trimmed_auto.,page_local_sliding_window_match,page_local_sliding_window_match,Poster 292,Stiff Person Syndrome Without Axial Stiffness or Hyperekplexia: A Case Report,1.0,1.0,0.894,backtrack_abstract_boundary,next_abstract_boundary,0,,44,80,2,cand_01_current_selected_end,cand_02_tail_metadata_trim_end,cand_01_current_selected_end|cand_02_tail_metadata_trim_end,current_selected_end|tail_metadata_trim_end,80|124,0|0,true,route_all_to_llm_v1,2026-04-12T22:16:51.650521+00:00
1598,1598,Coexistence of neuromyelitis optica and stiff person syndrome in a single patient: A case report,Thuringer A.J.; Jassam Y.N.,1598_Thuringer A.J. and Jassam Y.N. - 2019 - Coexistence of neuromyelitis optica and stiff pers.pdf,data\extraction_json\text\1598.json,,2,,,,,,,proceedings_llm_v1,candidate_generation,not_needed,Document does not look like a proceedings source.,,,,,,,,,,,,,,,,,,,,,,,
1675,1675,Autologous Haematopoietic Stem Cell Transplantation (Auto-HSCT) in Stiff Person Syndrome (SPS): The UK experience,Thorpe A.; Kass-Iliyya L.; Jessop H.; Chantry A.; Hadjivassiliou M.; Snowden J.; Sharrack B.,1675_Thorpe-2019-Autologous Haematopoietic Stem Cell Transplantation Auto-HSCT in Stiff Person Syndrome SPS The UK experience.pdf,data\extraction_json\text\1675.json,,6,,,,,,,proceedings_llm_v1,candidate_generation,not_needed,Document does not look like a proceedings source.,,,,,,,,,,,,,,,,,,,,,,,
1782,1782,Stiff Limb Syndrome Masquerading As a Focal Limb Dystonia,Morrison P.; Barbano R.,1782_Morrison - Stiff Limb Syndrome Masquerading As a Focal Limb Dystonia.pdf,data\extraction_json\text\1782.json,,1,,,,,,,proceedings_llm_v1,candidate_generation,not_needed,Document does not look like a proceedings source.,,,,,,,,,,,,,,,,,,,,,,,
1897,1897,Autologous hematopoietic stem cell transplantation may be highly effective treatment for severe stiff person syndrome,Georges G.E.; Bowen J.D.; Pearlman M.; Wundes A.; Von Geldern G.; Kraft G.H.; Weiss M.D.; McLaughlin B.; Sytsma J.; Nash R.,1897_Georges-2018-Autologous hematopoietic stem cell transplantation may be highly effective treatment for severe stiff person syndrome.pdf,data\extraction_json\text\1897.json,data\extraction_json\text_trimmed_llm_candidates\1897.json,1,0,22,22,1,6,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 2 ordered end candidates. Baseline candidate quality: trimmed_auto.,page_local_sliding_window_match,page_local_sliding_window_match,,May be Highly Effective Treatment for Severe Stiff Person Syndrome,0.87,0.5,0.6853,backtrack_title_cluster,next_abstract_boundary,0,,1,63,2,cand_01_current_selected_end,cand_02_tail_metadata_trim_end,cand_01_current_selected_end|cand_02_tail_metadata_trim_end,current_selected_end|tail_metadata_trim_end,63|130,0|0,true,route_all_to_llm_v1,2026-04-12T22:16:51.662089+00:00
3125,3125,Poster 258 A Novel Approach to the Treatment of Stiff-Person-Syndrome with Botulinum Toxin: A Case Report.,"Shah, Chirag D; Bunzol, Daniel",3125_Shah-2016-Poster 258 A Novel Approach to the T.pdf,data\extraction_json\text\3125.json,data\extraction_json\text_trimmed_llm_candidates\3125.json,1,3,8,10,0,3,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 1 ordered end candidates. Baseline candidate quality: trimmed_auto.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,Poster 258,Poster 258 A Novel Approach to the Treatment of Stiff-Person-Syndrome with Botulinum Toxin: A Case Report,1.0,1.0,1.0,,,0,,21,65,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,tail_metadata_trim_end,65,0,true,route_all_to_llm_v1,2026-04-12T22:16:51.674591+00:00
5270,5270,"STIFF PERSON SYNDROME, ABOUT A CASE","Chahrazed, R.",5270_Muscle and Nerve - 2019 - - 2019 AANEM Annual Meeting Abstract Guide Austin TX October 16 19 2019.pdf,data\extraction_json\text\5270.json,data\extraction_json\text_trimmed_llm_candidates\5270.json,144,70,337,283,1,8,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 1 ordered end candidates. Baseline candidate quality: trimmed_auto.,page_local_sliding_window_match,page_local_sliding_window_match,,"STIFF PERSON SYNDROME, ABOUT A CASE",1.0,1.0,0.8636,backtrack_soft_header,next_abstract_boundary,21,21,1542,1569,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,tail_metadata_trim_end,1569,21,true,route_all_to_llm_v1,2026-04-13T02:49:27.232392+00:00
5286,5286,Unusual case of jerking stiff person syndrome,"Chaudhary, N.; Jaiswal, S.; Murthy, J. M. K.",5286_Chaudhary-2013-Unusual case of jerking stiff person syndrome.pdf,data\extraction_json\text\5286.json,data\extraction_json\text_trimmed_llm_candidates\5286.json,1,2,18,3,0,3,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 1 ordered end candidates. Baseline candidate quality: trimmed_auto.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,1194,1194 Unusual case of jerking stiff person syndrome,0.9816,1.0,0.9862,,,0,,8,39,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,tail_metadata_trim_end,39,0,true,route_all_to_llm_v1,2026-04-12T23:17:58.008713+00:00
5315,5315,Stiff-person syndrome presenting with asymmetric axial muscle spasms and hypertrophy,"Chuang, C.",5315_Chuang-2002-Stiff-person syndrome presenting with asymmetric axial muscle spasms and hypertrophy.pdf,data\extraction_json\text\5315.json,data\extraction_json\text_trimmed_llm_candidates\5315.json,2,8,31,14,1,11,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 1 ordered end candidates. Baseline candidate quality: trimmed_auto.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,P778,P778 Stiff-person syndrome presenting with asymmetric axial muscle spasms and hypertrophy,0.9899,1.0,0.9924,,,0,1,118,164,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,tail_metadata_trim_end,164,1,true,route_all_to_llm_v1,2026-04-12T23:19:15.894421+00:00
5362,5362,"A double-blind, placebo-controlled, crossover trial of intravenous immunoglobin in the treatment of anti-GAD antibody-positive patients with stiff-person syndrome","Dalakas, M. C.; Fujii, M.; Lutft, B.; Khyos, J.; McElroy, B.",5362_Annals of Neurology - 2001 - - 126th Annual Meeting American Neurological Association Abstracts Plenary Session.pdf,data\extraction_json\text\5362.json,data\extraction_json\text_trimmed_llm_candidates\5362.json,3,9,42,34,2,9,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 2 ordered end candidates. Baseline candidate quality: trimmed_auto.,page_local_sliding_window_match,page_local_sliding_window_match,3,"A Double-Blind, Placebo-Controlled, Crossover Trial of Intravenous Immunoglobin in the Treatment of Anti-GAD Antibody–Positive Patients With Stiff-Person Syndrome",0.9224,0.8,0.8232,backtrack_abstract_boundary,next_abstract_boundary,0,,75,112,2,cand_01_last_non_metadata_end,cand_02_tail_metadata_trim_end,cand_01_last_non_metadata_end|cand_02_tail_metadata_trim_end,last_non_metadata_end|tail_metadata_trim_end,112|114,0|0,true,route_all_to_llm_v1,2026-04-12T23:31:51.731907+00:00
5365,5365,"A Double-Blind, Placebo-Cotrolled Study of Rituximab in Patients with Stiff-Person Syndrome (SPS)","Dalakas, M. C.; Rakocevic, G.; Dambrosia, J.; McElroy, B.",5365_Annals of Neurology - 2009 - - 134th Annual Meeting Poster Session Abstracts Monday October 12 2009.pdf,data\extraction_json\text\5365.json,data\extraction_json\text_trimmed_llm_candidates\5365.json,58,170,553,466,3,8,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 2 ordered end candidates. Baseline candidate quality: manual_review_required.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,M-68,"A Double-Blind, Placebo-Cotrolled Study of Rituximab in Patients with Stiff-Person Syndrome (SPS)",1.0,1.0,1.0,,,16,16,2040,2053,2,cand_01_current_selected_end,cand_02_tail_metadata_trim_end,cand_01_current_selected_end|cand_02_tail_metadata_trim_end,current_selected_end|tail_metadata_trim_end,2053|2068,16|16,true,route_all_to_llm_v1,2026-04-13T02:51:20.941917+00:00
5371,5371,The stiff person syndrome: A single case report of almost complete recovery 12 weeks following immunomodulatory therapy with IVIG and plasmapheresis,"Dalton, C. M.; Lim, E.; Redmond, J.",5371_Dalton-2000-The stiff person syndrome A single case report of almost complete recovery 12 weeks following immunomodulatory.pdf,data\extraction_json\text\5371.json,data\extraction_json\text_trimmed_llm_candidates\5371.json,1,4,20,11,0,6,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 1 ordered end candidates. Baseline candidate quality: trimmed_auto.,page_local_sliding_window_match,page_local_sliding_window_match,,Report of Almost Complete Recovery 12 Weeks following Immunomodulatory Therapy with IVIG and Plasmapheresis,0.9407,1.0,0.853,backtrack_title_cluster,next_abstract_boundary,0,,110,147,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,tail_metadata_trim_end,147,0,true,route_all_to_llm_v1,2026-04-12T23:20:13.687747+00:00
5398,5398,Treatment of stiff person syndrome with chronic plasmapheresis,"De la Casa-Fages, B.; Anaya, F.; Grandas, F.",5398_Movement Disorders - 2011 - - Poster Presentations.pdf,data\extraction_json\text\5398.json,data\extraction_json\text_trimmed_llm_candidates\5398.json,385,119,358,273,1,8,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 1 ordered end candidates. Baseline candidate quality: trimmed_auto.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,114,114 Treatment of stiff person syndrome with chronic plasmapheresis,0.9891,1.0,0.9918,,,37,37,4412,4453,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,tail_metadata_trim_end,4453,37,true,route_all_to_llm_v1,2026-04-13T00:44:14.009700+00:00
5502,5502,"GLUTAMIC ACID DECARBOXYLASE ANTIBODY: A LINK FOR LOCALISATION RELATED EPILEPSY, STIFF-PERSON SYNDROME AND TYPE I DIABETES MELLITUS? REPORT OF TWO CASES","Barcs, G.; Szucs, A.; Kamondi, A.",5502_Epilepsia - 2012 - - Abstracts.pdf,data\extraction_json\text\5502.json,data\extraction_json\text_trimmed_llm_candidates\5502.json,245,74,497,574,1,8,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 1 ordered end candidates. Baseline candidate quality: trimmed_auto.,page_local_sliding_window_match,page_local_sliding_window_match,,STIFF-PERSON SYNDROME AND TYPE I DIABETES MELLITUS? REPORT OF TWO CASES,0.9583,1.0,0.8381,backtrack_title_cluster,next_abstract_boundary,150,150,18368,18394,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,tail_metadata_trim_end,18394,150,true,route_all_to_llm_v1,2026-04-13T02:54:46.747234+00:00
5535,5535,STIFF PERSON SYNDROME IN ASSOCIATION WITH NONPARANEOPLASTIC LIMBIC ENCEPHALITIS,"Franke, K.; Schulz, R.; Hoppe, M.; Korn-Merker, E.; Specht, U.; Ebner, A.",5535_Epilepsia - 2009 - - 8th European Congress on Epileptology Berlin Germany 21 25 September 2008.pdf,data\extraction_json\text\5535.json,data\extraction_json\text_trimmed_llm_candidates\5535.json,261,102,518,292,0,6,true,proceedings_llm_v1,candidate_generation,candidate_package_created,Wrote LLM candidate package with 1 ordered end candidates. Baseline candidate quality: trimmed_auto.,fuzzy_title_author_block_match,fuzzy_title_author_block_match,E400,E400 STIFF PERSON SYNDROME IN ASSOCIATION WITH NONPARANEOPLASTIC LIMBIC ENCEPHALITIS,0.9893,1.0,0.9919,,,155,155,19150,19183,1,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,cand_01_tail_metadata_trim_end,tail_metadata_trim_end,19183,155,true,route_all_to_llm_v1,2026-04-13T00:33:28.804863+00:00
