paper_id,covidence_id,title,authors,source_filename,source_text_json_path,n_pages,abstract_block_count,title_like_line_count,author_like_line_count,program_marker_count,trim_reason,matched_block_code,matched_block_title,title_score,author_score,match_score,start_page_index,end_page_index,manual_status,manual_notes
1251,1251,Double trouble: Opisthotonos associated with guillain-barre Syndrome and GAD autoantibody,Alwis A.; Ram D.; Vassallo G.,1251_Alwis A. et al. - 2016 - Double trouble Opisthotonos associated with guill.pdf,data\extraction_json\text\1251.json,58,0,3216,392,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",35,"Treatment strategy was adjusted in 60 patients, of whom 40 reported a positive effect. Conclusions: A dedicated tertiary multidisciplinary approach",0.2759,0.0000,0.2069,55,57,,
12682,12682,PURELY TORSIONAL NYSTAGMUS IN A PATIENT WITH THE STIFF-MAN SYNDROME - A CASE-REPORT,"STEARNS, MQ; SINOFF, SE; ROSENBERG, ML",12682_WNL.43.4_Suppl_2.A11.pdf,data\extraction_json\text\12682.json,477,69,1529,82,2,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",78,Aging: Molecular and Biochemical Changes and Pathophysiology I Cytopathies and Pathophysiology I1 Magnetoencephalography,0.3500,0.0000,0.2625,13,202,,
12726,12726,STIFF-MAN-SYNDROME-80 - A VARIANT ASSOCIATED WITH ABNORMAL VISUAL PROCESSING AND A NEW ANTINEURONAL ANTIBODY,"DARNELL, RB; RUBIN, M; VICTOR, J; PLUM, F",12726_Annals of Neurology - August 1990 - - 115Th annual meeting of the American Neurological Association Abstracts.pdf,data\extraction_json\text\12726.json,67,126,3839,474,2,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",P246,Limb-Girdle Syndrome and Autonomic Failure Associated with Human T Lymphotrophic Virus Type I Infection,0.4880,0.0000,0.3660,61,62,,
12741,12741,Glycine receptor autoantibodies bind to the glycine receptor β subunit representing a novel target of stiff person syndrome,"Eckes, AL; Piro, I; Seefried, S; Tüzün, E; Sommer, C; Villmann, C",12741_Journal of Neurochemistry - 2022 - - Poster Sessions Monday Tuesday.pdf,data\extraction_json\text\12741.json,54,1,2911,446,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",P18,"The number of immune- stained GFAP fibers of Bergmann glial cells at P18 in ACE- exposed pups was significantly decreased com - pared to those in control pups. At P14 and P18, PCs in the ACE- exposed pups had shorter dendrite lengths, except for ACE40. We suggest that the decrease in Bergmann glial fibers would affect the",0.0092,0.0000,0.0069,9,53,,
13233,13233,Progressive encephalomyelitis with rigidity and myoclonus in a Mexican patient,"Garcia-Bermudez, R; Leon-Castillo, D; Bertado-Cortes, B",13233_Movement Disorders - 2021 - - Abstracts of the MDS Virtual Congress 2021.pdf,data\extraction_json\text\13233.json,599,1,3029,566,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",11,"Nasreddine ZS, Phillips NA, Bédirian V, Charbonneau S,",0.3125,0.0000,0.2344,80,80,,
1333,1333,Glycine antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM): A paediatric presentation,Kariyawasam D.S.T.; Hildebrand D.; Jayawant S.; Palace J.; Leite M.I.; Ramdas S.,1333_Kariyawasam D.S.T. et al. - 2017 - Glycine antibody mediated progressive encephalomye.pdf,data\extraction_json\text\1333.json,90,0,3286,314,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",867,"Parental testing revealed that it was a de novo mutation. The young male toddler had presented with developmental delay (mainly on gross motor and speech areas), increased TA tightness on the left and advanced right-side cataract. Neu- roimaging studies revealed white matter volume loss, foci of",0.0544,0.0000,0.0408,74,89,,
1393,1393,Stiff limb syndrome: A case report,Farhat E.; Zouari M.; Beyrouti R.; Sassi S.B.; Hentati F.,1393_Euro J of Neurology - 2014 - - Paper Poster Sessions.pdf,data\extraction_json\text\1393.json,323,0,2103,307,1,No abstract block could be segmented from the proceedings text.,,,,,,,,,
1395,1395,An atypical Stiff-Person Syndrome associated with type 3 autoimmune polyglandular syndrome,Viana P.; Abreu L.; Fonseca V.R.; Cortes M.; Neutel D.; Pita Lobo P.; Albuquerque L.,1395_Atypical - s00415-014-7337-4.pdf,data\extraction_json\text\1395.json,524,0,2893,515,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",68,"EMG showed ﬁndings consistent with distal sensory motor axonal polyneuropathy accompanied by autonomic involvement. His sural nerve biopsy disclosed severe axon loss with amyloid deposition. He did not have any cardiac, renal or eye involvement due to amyloi- dosis. He refused to undergo a new liver transplantation and was put",0.0483,0.0000,0.0362,356,523,,
1397,1397,Reducing excess stiffness in stiff-person syndrome using CBT: A case study,Morris L.L.; Dysch L.; Salkovskis P.M.,1397_Movement Disorders - 2014 - - Poster Presentations.pdf,data\extraction_json\text\1397.json,571,2,3448,271,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",17,Luhansk 47.0 49.3 1 2.3 1 4.89%,0.2330,0.0000,0.1748,551,551,,
1398,1398,A neurological syndrome in a patient with anti glutamic acid decarboxylase (GAD) antibodies,Rachana G.; Tarannum K.,1398_mds.25914.pdf,data\extraction_json\text\1398.json,571,2,3448,232,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",25,Dnipropetrovsk 31.8 35.4 1 3.6 1 11.32%,0.2362,0.0000,0.1772,551,551,,
1416,1416,Immunomodulatory therapy in stiff-person syndrome (SPS): A controlled Rituximab-randomised study,Amarandei M.,1416_Amarandei M. - 2017 - Immunomodulatory therapy in stiff-person syndrome .pdf,data\extraction_json\text\1416.json,627,1,3274,401,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",13,"They changed to 39 and 14. After miglustat therapy, the case 1 Fig. (1244). S482 ABSTRACTS",0.2486,0.0000,0.1864,481,487,,
1418,1418,Stiff-limb syndrome with cerebellar features and atypical EMG findings responds to IVIG,Rametta S.; Robinson G.; Hellmers N.; Jacoby N.; Sarva H.,1418_Rametta S. et al. - 2017 - Stiff-limb syndrome with cerebellar features and a.pdf,data\extraction_json\text\1418.json,627,1,3274,401,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",13,"They changed to 39 and 14. After miglustat therapy, the case 1 Fig. (1244). S482 ABSTRACTS",0.3041,0.0000,0.2281,481,487,,
1422,1422,Intrathecal baclofen therapy for GAD(+) stiff-person syndrome: A case series of 4 patients,Ungar L.; Taira T.; Zibly Z.,1422_Ungar L. et al. - 2017 - Intrathecal baclofen therapy for GAD(+) stiff-pers.pdf,data\extraction_json\text\1422.json,460,5,726,242,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",11,"Biostatistics, Medtronic, Minneapolis, USA",0.3040,0.0000,0.2280,118,118,,
1441,1441,Spectrum of stiff person syndrome expands with presence of retinal pathology,Shoemaker T.; Rothman A.; Prince J.; Saidha S.; Calabresi P.A.; Newsome S.D.,1441_1352458517731404.pdf,data\extraction_json\text\1441.json,342,0,2579,1063,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",IL-10,"However, no change was observed in the production of tumour necrosis factor (TNF) or IL-1B. Additionally, there was no effect of teriflunomide on the phagocytic activity of microglia. Pretreatment with teriflunomide also decreased production of the inflammatory",0.0428,0.0000,0.0321,259,341,,
1447,1447,"Hypokinesia, brainstem involvement, rigidity and exaggerated startle in a child with glycine receptors antibodies",Amin S.; Hameed B.; Babiker M.O.E.,"1447_Amin S. et al. - 2017 - Hypokinesia, brainstem involvement, rigidity and e.pdf",data\extraction_json\text\1447.json,98,1,3180,347,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",70,The patient has male sex chromosome complement and the mother does not carry the variant. These results are con- sistent with the patient having a Becker muscular dystrophy with somatic mosaicism for the nonsense DMD gene variant. Conclusions: Somatic mosaicism in DMD was reported in rare,0.0515,0.0000,0.0386,8,97,,
1458,1458,Unrecognized respiratory manifestations of stiff person syndrome,Rakocevic G.; Allen A.; Pack K.; Woodford M.; Sexauer W.,1458_Muscle and Nerve - 2017 - - American Association of Neuromuscular Electrodiagnostic Medicine Annual Meeting Abstracts (1).pdf,data\extraction_json\text\1458.json,119,0,2320,333,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",14,"Twenty-six patients (58%) underwent EDX testing and muscle biopsy. Genetic testing was performed in 17 patients (38%) and was diagnostic only in 3 (7%). Five cases had variants of unknown significance, and results of other 3 are pending. Genetic testing was considered or",0.0435,0.0000,0.0326,72,118,,
1511,1511,Stiff-limb syndrome: Thinking about that!,Delorme A.; Pencu D.E.; De Saint-Hubert G.,1511_Delorme A. et al. - 2018 - Stiff-limb syndrome Thinking about that!.pdf,data\extraction_json\text\1511.json,81,0,1118,332,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",96,"PubMed PMID: 23354200; eng. [2] Luciano RL, Brewster UC. Kidney involvement in leu- kemia and lymphoma. Advances Chronic kidney Dis. 2014 Jan;21(1):27–35. PubMed PMID: 24359984; eng. DOI: 10.1053/j.ackd.2013.07.004.",0.1271,0.0000,0.0953,69,80,,
1602,1602,Progressive encephalomyelitis with rigidity and myoclonus - Case report,Barbov I.; Stojkoska F.; Petovska-Cvetkovska D.; Lazarova S.,1602_Barbov I. et al. - 2019 - Progressive encephalomyelitis with rigidity and my.pdf,data\extraction_json\text\1602.json,235,0,2212,399,0,No abstract block could be segmented from the proceedings text.,,,,,,,,,
1605,1605,A stiff woman,Srinithya F.; Gadde S.,1605_s11606-019-05007-5.pdf,data\extraction_json\text\1605.json,769,0,3571,420,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",54,"On neurologic exam, he was oriented only to self, inattentive, and with deficits in all cognitive domains: executive function, abstraction, recall. He had impaired visual acuity. There were no strength or light touch",0.0362,0.0000,0.0271,459,497,,
1664,1664,A rare person with Stiff Person syndrome,Suciu R.; Stoicanescu D.; Cevei M.; Bodog F.,1664_Suciu R. et al. - 2019 - A rare person with Stiff Person syndrome.pdf,data\extraction_json\text\1664.json,204,0,2711,367,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",33,"University of Acibadem,",0.3226,0.0000,0.2419,136,140,,
1774,1774,An unusual presentation of stiff-person syndrome,Saengphatrachai W.; Wantaneeyawong C.; Pitakpatapee Y.; Srivanitchapoom P.,1774_Saengphatrachai W. et al. - 2019 - An unusual presentation of stiff-person syndrome.pdf,data\extraction_json\text\1774.json,178,0,262,81,0,No abstract block could be segmented from the proceedings text.,,,,,,,,,
1793,1793,Stiff-person syndrome: The analyses of 15 cases and their prognosises,Wei X.; Cai J.; Zhang C.; Lin H.,1793_Basic Clin Pharma Tox - 2019 - - Expression of Concern Abstracts.pdf,data\extraction_json\text\1793.json,154,1,3098,198,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",300,"Sampling yields 297 useful questionnaires, a response valid rate of 97%. We design the questionnaire by consider- ing related works and experts’ views. This study used Partial Least Squares (PLS) to analyze the data because PLS was a component- based Structural Equation Model technique used",0.0343,0.0000,0.0257,24,153,,
1802,1802,Advanced progression of scoliosis after intrathecal baclofen in an adult with stiff person syndrome: A case report,Oh D.C.; LaGrant B.; Sein M.,1802_Oh D.C. et al. - 2019 - Advanced progression of scoliosis after intratheca.pdf,data\extraction_json\text\1802.json,187,0,3649,550,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",17,Respiratory function improvement was noted on day 19 with negative inspiratory force (NIF) of –14. She was admitted to IPR on day 38. During,0.2903,0.0000,0.2177,81,186,,
1807,1807,Anti-GAD65 antibody mediated systemic small vessel vasculitis with CNS involvement presenting as refractory status epilepticus and stiff-limb syndrome,Neupert D.; Leibu N.; Aysenne A.; Dunn C.R.,1807_Neupert D. et al. - 2019 - Anti-GAD65 antibody mediated systemic small vessel.pdf,data\extraction_json\text\1807.json,341,0,746,112,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",27,"Nicardipine was then infused into the EVD once a day for 3 days, resulting in rapid and sustained improvement in vasospasm. Conclusions The mechanism of vasospasm following skull base tumor resection is unknown. Presence of blood in the operative bed, direct surgical injury to the blood vessels, hypothalamic dysfunction and the release of",0.0206,0.0000,0.0155,181,340,,
1838,1838,Progressive encephalomyelitis with rigidity and myoclonus with multiple autoantibodies as a first manifestation of thymoma,Florea A.; Matei A.; Mitu C.E.; Popescu B.O.,1838_Euro J of Neurology - 2020 - - ePoster Sessions.pdf,data\extraction_json\text\1838.json,706,0,2043,280,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",PDQ-39,A total of 1235 patients already on treatment for,0.1287,0.0000,0.0965,583,705,,
1898,1898,"Anti-gad positive syndrome (stiff-man): A 9-years-case report of treatment, evolution and a review",De Camargo Carmello J.F.; Oliveira A.S.B.,1898_De Camargo Carmello J.F. and Oliveira A.S.B. - 2018 - Anti-gad positive syndrome (stiff-man) A 9-years-.pdf,data\extraction_json\text\1898.json,199,1,3075,354,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",22,The project was approved in the Committee of Ethics in Research,0.2548,0.0000,0.1911,121,198,,
1899,1899,Stiff-person syndrome and type 1 diabetes mellitus: Report of a family,Faro F.N.; Bussular T.C.; Feder C.K.R.; Salles J.E.N.; Scalissi N.M.; Pereira M.V.,1899_Faro F.N. et al. - 2018 - Stiff-person syndrome and type 1 diabetes mellitus.pdf,data\extraction_json\text\1899.json,199,1,3075,354,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",22,The project was approved in the Committee of Ethics in Research,0.2879,0.0000,0.2159,121,198,,
1900,1900,Stiff person syndrome exacerbations & therapeutic plasma exchange,Stiefel E.; Leeper J.; Alquist C.,1900_Stiefel E. et al. - 2018 - Stiff person syndrome exacerbations & therapeutic .pdf,data\extraction_json\text\1900.json,74,1,2433,303,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",100,We used linear regression and logistic regression to assess potential variables associated with Lymph CE and subsequent successful CAR T-cell manufacture. Results The median patient age was 56 years (range 22 – 73); 45 patients (64%) were male. The median number of prior,0.0247,0.0000,0.0185,4,73,,
1901,1901,Iatrogenic hypoglobulinemia due to the therapeutic plasma exchange: Managing the patient with allergies to blood products,Linnik Y.A.; Moiseff R.; Thomasson R.; Szczepiorkowski Z.; Dunbar N.,1901_Linnik Y.A. et al. - 2018 - Iatrogenic hypoglobulinemia due to the therapeutic.pdf,data\extraction_json\text\1901.json,74,1,2433,303,1,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",100,We used linear regression and logistic regression to assess potential variables associated with Lymph CE and subsequent successful CAR T-cell manufacture. Results The median patient age was 56 years (range 22 – 73); 45 patients (64%) were male. The median number of prior,0.0739,0.0000,0.0554,4,73,,
1903,1903,Stiff person's syndrome: Challenging symptom control,Thakolkaran N.T.; Kaur R.,1903_Thakolkaran N.T. and Kaur R. - 2018 - Stiff person's syndrome Challenging symptom contr.pdf,data\extraction_json\text\1903.json,369,0,3720,462,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",75,"A discussion was documented for 7/ 58 (12.1%) patients, which usually involved patient preference. Conclusion: A majority (71/6%) of women had screening mammography performed at the age of 75 and older, yet there was documentation of",0.0220,0.0000,0.0165,198,212,,
1916,1916,A rare cause of progressive encephalopathy - PERM,Hartigan S.; Turner R.; Hastings J.,1916_Hartigan S. et al. - 2018 - A rare cause of progressive encephalopathy - PERM.pdf,data\extraction_json\text\1916.json,97,1,3472,229,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",10,"Aghajanian, C., Blank, S.V ., Goff, B.A., Judson, P .L., Teneriello,",0.2600,0.0000,0.1950,63,63,,
1921,1921,Refractory anti-gad positive stiff-person syndrome controlled after rituximab therapy,Aragao V.; Braga E.; Marinho A.R.; Nobrega P.; Simabukuro M.; Ferreira G.; Maia F.,1921_Aragao V. et al. - 2018 - Refractory anti-gad positive stiff-person syndrome.pdf,data\extraction_json\text\1921.json,104,0,3216,513,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",23,"3. Senova S, Jarraya B, Iwamuro H, et al. Unilateral thalamic stim- ula- tion safely improved fragile X-associated tremor ataxia: a case",0.3286,0.0000,0.2465,50,52,,
1922,1922,Stiff person syndrome presenting with spastic dysarthria,Persaud A.; Shneyder N.; Pulley M.; Giles S.,1922_Persaud A. et al. - 2018 - Stiff person syndrome presenting with spastic dysa.pdf,data\extraction_json\text\1922.json,104,0,3216,513,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",74,2. A. McNeill et al. T2* and FSE MRI distinguishes four subtypes of neuroNBIA. Neurology. 2008 Apr 29; 70(18): 1614-1619. 3. Tello C,0.2486,0.0000,0.1864,52,65,,
1923,1923,Intrathecal baclofen effects in stiff person syndrome: Clinical and instrumented gait analysis,Rocha M.S.; Terzian P.R.; Ferreira R.; Majdoub A.A.; Barbosa J.; Godinho F.,1923_Rocha M.S. et al. - 2018 - Intrathecal baclofen effects in stiff person syndr.pdf,data\extraction_json\text\1923.json,104,0,3216,513,0,"Proceedings detected, but the best abstract block match is below the auto-trim confidence threshold.",23,"3. Senova S, Jarraya B, Iwamuro H, et al. Unilateral thalamic stim- ula- tion safely improved fragile X-associated tremor ataxia: a case",0.3167,0.0000,0.2376,50,52,,
