Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence,Study,Notes,Tags
A novel antineuronal antibody in stiff-man syndrome.,"Darnell, R B; Victor, J; Rubin, M; Clouston, P; Plum, F","Two-thirds of stiff-man syndrome (SMS) patients harbor an autoantibody specific for a 64-kD species of glutamic acid decarboxylase (GAD), the rate-limiting enzyme in GABA synthesis. We assayed SMS antisera from two patients with SMS for the presence of anti-GAD antibodies using Western blot, immunohistochemical, and enzymatic analyses. Both SMS antisera recognized an 80-kD antigen present in human and rat neuronal extracts, and failed to recognize the 64-kD GAD species. Immunohistochemistry demonstrated neuronal binding identical to that reported with anti-GAD antibodies. Both sera depleted GAD activity from brain extracts. Our analysis indicates that these SMS antisera differ from previously reported SMS antisera by recognizing a novel 80-kD antigen, and suggests that they contain antibodies directed against either a species of GAD different in size from the 64-kD enzyme, or a protein that co-immunoprecipitates with GAD.",1993,/,Neurology,43,1,114-20,,,8423873,34,Darnell 1993,,Clinical manifestations; Immunological - Lab tests
Intravenous methocarbamol in the treatment of stiff-man syndrome.,"Voci, J M; al-Hakim, M; Dokko, Y; Katirji, M B",,1993,/,Muscle & nerve,16,4,434-5,,,8455662,38,Voci 1993,Yasamin Mahjoub (2023-06-08 23:10:47)(Select): On page 6 - Letters to Editor; ,Treatment
Heterogeneity of autoantibodies in stiff-man syndrome.,"Grimaldi, L M; Martino, G; Braghi, S; Quattrini, A; Furlan, R; Bosi, E; Comi, G","Stiff-man syndrome is a rare neurological disorder characterized by skeletal muscle rigidity and spasms in which detection of circulating anti-glutamic acid decarboxylase antibodies has suggested an autoimmune pathogenesis. To further define the role of autoimmunity in the pathogenesis, we studied anti-glutamic acid decarboxylase antibodies, as well as organ- and non-organ-specific autoantibodies in 13 patients with stiff-man syndrome and 127 patients with other neurological disorders. Thyrogastric antibodies were more frequent in patients with stiff-man syndrome (46%) than in those with other neurological disorders (12%) (p < 0.05). Non-organ-specific antibodies were found at a similar frequency in the patients with stiff-man syndrome (61%) and those with other neurological disorders (65%). Islet-cell autoantibodies and anti-glutamic acid decarboxylase antibodies were more common in stiff-man syndrome patients (38% and 31%) compared to the patients with other neurological disorders (6% and 3%, respectively; p < 0.001). With the exception of 1 patient in the other neurological disorders group, anti-glutamic acid decarboxylase antibodies were always associated with islet-cell autoantibodies. Four patients with stiff-man syndrome had an associated solid tumor: 3 of them had antibodies recognizing a 125/130-kd protein and not glutamic acid decarboxylase.(ABSTRACT TRUNCATED AT 250 WORDS)",1993,/,Annals of neurology,34,1,57-64,,,8517681,39,Grimaldi 1993,,
Identification of autoantibody epitopes of glutamic acid decarboxylase in stiff-man syndrome patients.,"Li, L; Hagopian, W A; Brashear, H R; Daniels, T; Lernmark, A","Stiff-man syndrome is a neurologic disorder characterized by progressive rigidity of skeletal muscles. Deficiency of the neurotransmitter gamma-aminobutyric acid and autoantibodies to glutamic acid decarboxylase (GAD), the enzyme synthesizing gamma-aminobutyric acid, are closely associated with the disorder, although the relevant antigenic epitopes have not been identified. In the present study, sera from two patients with SMS was used in an immunoblotting assay with recombinant GAD67 (M(r) 67,000) and GAD65 (M(r) 65,000) isoforms to test whether SMS sera can recognize specific epitopes. We found that both SMS sera recognized the GAD65, but not the GAD67, isoform. Using 13 different synthetic GAD peptides to block the autoantibodies, two GAD65 epitopes were identified. One epitope recognized by both patients' sera, was blocked by the peptide representing amino acid residues 354-368. In one patient only, blocking was also observed by a peptide representing residues 390-402, which includes the binding site of the GAD cofactor, pyridoxal 5'-phosphate. A single amino acid substitution in GAD65 at position 401 (leucine to proline) and representing the analogous GAD67 sequence in this region significantly reduced the peptide's inhibitory effect. These findings suggest that SMS GAD autoantibodies share distinct GAD65 linear epitopes and that some SMS patients' autoantibodies may block the active site, explaining SMS GABA deficiency.",1994,/,"Journal of immunology (Baltimore, Md. : 1950)",152,2,930-4,,,7506741,41,Li 1994,,Immunological - Lab tests
"Higher autoantibody levels and recognition of a linear NH2-terminal epitope in the autoantigen GAD65, distinguish stiff-man syndrome from insulin-dependent diabetes mellitus.","Kim, J; Namchuk, M; Bugawan, T; Fu, Q; Jaffe, M; Shi, Y; Aanstoot, H J; Turck, C W; Erlich, H; Lennon, V; Baekkeskov, S","The smaller form of the GABA-synthesizing enzyme glutamic acid decarboxylase (GAD65) is a major autoantigen in two human diseases that affect its principal sites of expression. Thus, destruction of pancreatic beta cells, which results in insulin-dependent diabetes mellitus (IDDM), and impairment of GABA-ergic synaptic transmission in Stiff-Man syndrome (SMS) are both characterized by circulating autoantibodies to GAD65. Anti-GAD65 autoantibodies in IDDM are predominantly directed to conformational epitopes. Here we report the characterization of humoral autoimmune responses to GAD65 in 35 SMS patients, of whom 13 (37%) also had IDDM. All SMS patients immunoprecipitated native GAD65 and the main titers were orders of magnitude higher than in IDDM patients. Furthermore, in contrast to the situation in IDDM, autoantibodies in 35 of 35 (100%) of SMS patients recognized denatured GAD65 on Western blots. Two major patterns of epitope specificity were identified on Western blots. The first pattern, detected in 25 of 35 SMS patients (71%), of whom 11 had IDDM (44%), was predominantly reactive with a linear NH2-terminal epitope residing in the first eight amino acids of GAD65. Nine of nine individuals who were HLA-haplotyped in this group carried an IDDM susceptibility haplotype and HLA-DR3, DQw2 was particularly abundant. The second pattern, detected in 10 of 35 patients (29%) of whom two had IDDM (20%), included reactivity with the NH2-terminal epitope plus strong reactivity with one or more additional epitope(s) residing COOH-terminal to amino acid 101. The second epitope pattern may represent epitope spreading in the GAD65 molecule, but may also include some cases of epitope recognition associated with IDDM resistant HLA-haplotypes. The principal NH2-terminal linear epitope in GAD65 distinguishes the reactivity of SMS and IDDM autoantibodies and may be a determinant of pathogenicity for GABA-ergic neurons. The greater magnitude and distinct specificity of the humoral response to GAD65 in SMS may reflect a biased involvement of the T helper cell type 2 (Th2) subset of CD4+ T cells and antibody responses, whereas IDDM is likely mediated by the Th1 subset of CD4+ T cells and cytotoxic T cell responses.",1994,/,The Journal of experimental medicine,180,2,595-606,,,7519242,43,Kim 1994,,Clinical manifestations
Genetics of susceptibility and resistance to insulin-dependent diabetes in stiff-man syndrome.,"Pugliese, A; Gianani, R; Eisenbarth, G S; De Camilli, P; Solimena, M",,1994,/,"Lancet (London, England)",344,8928,1027-8,,,7934413,49,Pugliese 1994,,Clinical manifestations
Treatment of stiff-man syndrome with intravenous immunoglobulin.,"Amato, A A; Cornman, E W; Kissel, J T","Stiff-man syndrome (SMS) is a rare disorder characterized by progressive rigidity, stiffness, and spasms of axial and extremity muscles. The etiology of SMS is unknown, but evidence suggests a possible autoimmune basis. The recent successful use of intravenous immunoglobulin (IVIG) in treating various autoimmune neuromuscular disorders led us to try IVIG in an uncontrolled pilot study on three patients. All three showed subjective and objective improvement.",1994,/,Neurology,44,9,1652-4,,,7936291,52,Amato 1994,,
Intrathecal baclofen treatment for stiff-man syndrome: pump failure may be fatal.,"Meinck, H M; Tronnier, V; Rieke, K; Wirtz, C R; Flugel, D; Schwab, S",,1994,/,Neurology,44,11,2209-10,,,7969992,55,Meinck 1994,Gustavo  Da Prat (2024-12-02 22:57:45)(Included): the manuscript is not available; ,Clinical manifestations; Treatment
Treatment of stiff-man syndrome with intravenous immune globulin.,"Karlson, E W; Sudarsky, L; Ruderman, E; Pierson, S; Scott, M; Helfgott, S M","OBJECTIVE: To evaluate the efficacy of intravenous immune globulin (IVIG) in the treatment of stiff-man syndrome (SMS)., METHODS: An open, unblinded study of 3 patients with active disease and/or disease refractory to treatment with diazepam and/or corticosteroids., RESULTS: All 3 bedridden patients improved substantially shortly after infusion with IVIG and regained function., CONCLUSION: IVIG may be useful for the treatment of SMS.",1994,/,Arthritis and rheumatism,37,6,915-8,,,8003064,58,Karlson 1994,,Clinical manifestations; Treatment
"Autoimmunity in stiff-Man syndrome with breast cancer is targeted to the C-terminal region of human amphiphysin, a protein similar to the yeast proteins, Rvs167 and Rvs161.","David, C; Solimena, M; De Camilli, P","Amphiphysin, a neuronal protein first identified in chicken synaptic membranes, is the autoantigen of Stiff-Man Syndrome (SMS) associated with breast cancer. We have now cloned human amphiphysin and found the N- and C-terminal domains of the protein to be highly conserved between chicken and human. Patient autoantibodies have a distinct pattern of reactivity with amphiphysin, and the dominant autoepitope is located in its C-terminal region, which contains an SH3 domain. Portions of chicken and human amphiphysin are also homologous to portions of Rvs167 and Rvs161, two yeast proteins which are involved in cell entry into stationary phase upon exposure to unfavourable growth conditions.",1994,/,FEBS letters,351,1,73-9,,,8076697,62,David 1994,,Immunological - Lab tests
Stiff man syndrome: clinical and laboratory findings in eight patients.,"Meinck, H M; Ricker, K; Hulser, P J; Schmid, E; Peiffer, J; Solimena, M","The clinical, biochemical, neuroimaging and neurophysiological findings of eight patients with stiff man syndromes (SMS) [four of six being tested with autoantibodies against glutamic acid decarboxylase (GAD)] are presented. In two patients (one GAD-positive, one GAD-negative), transient oculomotor disturbances suggested progressive encephalomyelitis with rigidity and myoclonus (PERM) as differential diagnosis. The catalogue of characteristic clinical symptoms of SMS is extended by three new symptoms: (1) an aura-like feeling reported by five patients to precede spontaneous spasmodic attacks; (2) a stereotyped motor pattern seen in seven patients during spasmodic jerks, consisting of brief opisthotonos, stiffening of the slightly abducted legs and inversion of the plantar-flexed feet; (3) a paroxysmal fear when crossing a free space unaided, or even thinking of it. Clinical findings did not enable us to discriminate between patients tested GAD-positive or GAD-negative. Cerebrospinal fluid contained elevated immunoglobulin levels or cell counts, or both, in the majority of patients. Autopsy of one patient revealed scattered lymphocyte cuffs around leptomeningeal, intracerebral and particularly intraspinal vessels, suggesting a mild inflammatory process. Whether SMS and PERM are closely related is discussed; they are possibly both manifestations of a spectrum of encephalomyelopathies having autoimmunity against GABAergic neurons in common.",1994,/,Journal of neurology,241,3,157-66,,,8164018,65,Meinck 1994,,Clinical manifestations; Immunological - Lab tests
Stiff-man syndrome. Report of a case.,"Tarsy, D; Miyawaki, E K","Stiff-man syndrome is a well-described, but rare and often overlooked, neuromuscular syndrome of rigidity, spasm, and gait abnormality that is associated with several endocrinologic and autoimmune disorders. A patient exhibiting many typical features of stiff-man syndrome had intermittent symptoms for 22 years before the correct diagnosis was made. Similar to many described patients, she was diabetic, hyperthyroid, and had elevated islet cell, antithyroid, and glutamic acid decarboxylase antibody levels. The high frequency of diabetes mellitus among patients with stiff-man syndrome is emphasized, as is increasing evidence to suggest that elaboration of anti-glutamic acid decarboxylase and anti-islet cell antibodies may play a role in the pathophysiologic state of the disorder.",1994,/,Archives of internal medicine,154,11,1285-8,,,8203996,69,Tarsy 1994,,Clinical manifestations
"Intrathecal baclofen therapy in stiff-man syndrome: a double-blind, placebo-controlled trial.","Silbert, P L; Matsumoto, J Y; McManis, P G; Stolp-Smith, K A; Elliott, B A; McEvoy, K M","We performed a double-blind, placebo-controlled trial of intrathecal baclofen (ITB) in stiff-man syndrome. Three patients, unresponsive to current therapy, received 50 micrograms of ITB or placebo on sequential days. Following ITB, all patients demonstrated improvement in reflex EMG activity. The mean reduction in total EMG activity (from all muscles) following stimulation of the medial plantar nerve (cutaneous flexor reflex) was 72% following 50 micrograms of ITB compared with 18% following placebo (ANOVA: significance of F, p < 0.0001). The mean latency to onset of the response was also significantly prolonged for all muscles following ITB (ANOVA: significance of F, p < 0.05). Although reflex EMG activity was reduced in all patients, clinical improvement was evident in only one patient, who differed from the others studied by a longer duration of disease, greater severity of stiffness, less fear of falling, and greater electrophysiologic improvement.",1995,/,Neurology,45,10,1893-7,,,7477988,71,Silbert 1995,,Treatment
Stiff-man syndrome: case report.,"Kuhn, W F; Light, P J; Kuhn, S C","Stiff-man syndrome is a rare neurologic disorder characterized by progressive, fluctuating muscle rigidity with painful muscle contractions affecting predominantly the back and proximal extremities. In the ED, the diagnosis can be easily overlooked and misdiagnosed as acute or chronic low back pain and muscle spasm. This syndrome is often associated with diabetes, autoimmune diseases, and cancer. This report describes an illustrative case of a 39-year-old woman who presented to the ED with a two-year history of right leg spasms and low back pain that had become so severe in the preceding two days that she was unable to ambulate. Clues to the patient's proper diagnosis coincide with the diagnostic criteria for stiff-man syndrome: the presence of a slowly progressive stiffness of the axial muscles and proximal limb muscles, making ambulation difficult; hyperlordosis of the lumbar spine; episodic spasms precipitated by jarring or sudden movement; a normal intellectual, sensory, and motor examination when not in spasm; and a marked amelioration of symptoms with the IV administration of diazepam. High-dose oral diazepam is the maintenance drug of choice.",1995,/,Academic emergency medicine : official journal of the Society for Academic Emergency Medicine,2,8,735-8,,,7584754,75,Kuhn 1995,,
Stiff man syndrome: neurophysiological findings in eight patients.,"Meinck, H M; Ricker, K; Hulser, P J; Solimena, M","The neurophysiological findings in eight patients with the stiff man syndrome (SMS), including four of six tested with autoantibodies against glutamic acid decarboxylase, are presented. Neurophysiological findings did not make it possible to discriminate between patients with and those without autoimmunity against GABAergic neurons. Investigation of mono- and polysynaptic reflexes revealed abnormal results in a variable number of SMS patients, the abnormalities largely corresponding to those seen in spastic paresis. A stereotyped motor response to electrical stimulation of peripheral nerves was recorded from the trunk muscles of all patients investigated. This response was termed spasmodic reflex myoclonus and consisted of a sequence of 1-3 synchronous myoclonic bursts, 60-70 ms after median nerve stimulation, followed by a tonic decrescendo activity over a number of seconds. The recruitment order of muscles along the neuraxis in spasmodic reflex myoclonus suggested that the latter was generated in the spinal cord and conveyed via propriospinal tracts. It is thought that spasmodic reflex myoclonus may serve not only as a diagnostic tool, but also as a key to understanding some aspects of the pathophysiology of both spasms and stiffness in SMS. It is speculated that stiffness is a fragment of spasms, both being generated by common neuronal mechanisms tentatively ascribed to interneurons in the spinal grey matter.",1995,/,Journal of neurology,242,3,134-42,,,7751855,80,Meinck 1995,,Electrophysiology
Stiff-man syndrome: report of a case.,"Chang, Y J; Wu, C L; Lu, C S","A 40-year-old Taiwanese farmer developed progressive stiffness and pain in the lower back with intermittent cramps over a 3-year period. The cramps were extremely painful and the patient was sensitive to any sudden movement or external stimulation. His lower back was so stiff that the patient had great difficulty performing daily activities and walked with a rigid and straight back. The stiffness of the muscles subsided during normal sleep. Except for a left S1 radiculopathy, no other neurologic abnormalities were noted. Electromyography showed spontaneous continuous muscle fiber activity which was markedly suppressed after a trial with 20 mg intravenous diazepam. The muscular stiffness disappeared during treatment with oral diazepam 80 mg daily, which was tapered to 15 mg daily without any recurrence of spasm for 20 months. This is the first report of stiff-man syndrome in a Taiwanese patient and emphasizes the importance of recognizing this treatable disease.",1995,/,Journal of the Formosan Medical Association = Taiwan yi zhi,94,11,695-7,,,8527980,85,Chang 1995,Yasamin Mahjoub (2023-06-07 23:48:05)(Select): Request submitted to UCalgary Interlibrary loan; ,Clinical manifestations; Electrophysiology; Treatment
Glutamic acid decarboxylase autoantibodies in stiff-man syndrome and insulin-dependent diabetes mellitus exhibit similarities and differences in epitope recognition.,"Daw, K; Ujihara, N; Atkinson, M; Powers, A C","Glutamic acid decarboxylase (GAD) is an autoantigen in two autoimmune diseases, insulin-dependent diabetes mellitus (IDDM) and stiff-man syndrome (SMS). However, most individuals with one of these diseases do not have the other disease. Prior studies have suggested that the natures of the GAD Abs associated with each of these diseases are different, which may have implications for the autoimmune pathogenesis. We have compared the GAD autoantibody profile and have mapped GAD protein epitope regions in the two diseases using an immunoprecipitation assay with recombinant GAD 65 and GAD 67 proteins, GAD protein fragments, and synthetic GAD peptides, as well as chimeric GAD proteins. Our results indicate that individuals with SMS have GAD Abs in 100- to 500-fold higher titer than individuals with IDDM. The population of GAD Abs in SMS sera is quite complex and includes those that recognize at least three GAD 65 epitope regions located between amino acids 1-16, 188-442, and 442-563. These types of GAD Abs are not found in IDDM sera. All SMS sera also had Ab specificity that binds GAD 67 in a region highly homologous to amino acids 188-442 of GAD 65. In contrast to prior studies that used immunoblotting to measure GAD Abs, we find GAD Abs in SMS sera also target two conformation-dependent regions of GAD 65, one located in the middle and one near the C-terminus of the protein. These two regions of the GAD 65 protein are similar to regions targeted by GAD 65-specific Abs found in individuals with IDDM. These results indicate that although disease-specific epitopes may exist, there is also overlap in the humoral response between the two diseases.",1996,/,"Journal of immunology (Baltimore, Md. : 1950)",156,2,818-25,,,8543838,89,Daw 1996,,
Antiamphiphysin antibodies with small-cell lung carcinoma and paraneoplastic encephalomyelitis.,"Dropcho, E J","Paraneoplastic encephalomyelitis developed as the presenting feature of small-cell lung carcinoma in 3 patients. Two patients with paraneoplastic encephalomyelitis manifested predominantly as subacute sensory neuronopathy did not improve after prednisone treatment and chemotherapy. The third patient had severe axial and limb rigidity and myoclonus, which partially improved after chemotherapy and treatment with intravenous immunoglobulin and prednisone. Serum from each patient immunocytochemically stained the neuropil and to a lesser degree the neuronal cytoplasm in human cerebral and cerebellar cortex. On immunoblots of human neuronal extracts, each patient's serum contained high-titer IgG antibodies reacting with a protein band of apparent molecular mass 125 kd. This autoantibody pattern is indistinguishable from antibodies recently identified in several women with breast carcinoma and stiff-man syndrome. Screening of a human brain complementary DNA expression library with patient serum yielded clones whose sequence is identical to that of the synaptic vesicle-related protein amphiphysin. Reverse transcriptase-polymerase chain reaction demonstrated expression of amphiphysin in 8 of 10 small-cell lung carcinomas and in 5 of 14 breast carcinomas. These observations highlight the clinical and serological heterogeneity of paraneoplastic central nervous system disorders: Patients with a given clinical syndrome may have different antineuronal antibodies, and patients with a given autoantibody specificity have differing clinical presentations.",1996,/,Annals of neurology,39,5,659-67,,,8619552,92,Dropcho 1996,,Clinical manifestations; Electrophysiology; Treatment
Psychological factors in the diagnosis and pathogenesis of stiff-man syndrome.,"Henningsen, P; Clement, U; Kuchenhoff, J; Simon, F; Meinck, H M","Retrospective psychological evaluation of nine patients with stiff-man syndrome (SMS), seven of whom evidenced autoimmune disease, revealed a characteristic set of psychological symptoms or features: Major stressful life events preceded the development of permanent symptoms by 6 months or less (seven patients); transient motor symptoms occurred in emotionally distressing situations months or even years before the onset of a permanent motor deficit (five patients); after onset, similar situations specifically precipitated or augmented stiffness and spasms (five patients). We also found task-specific fear resembling agoraphobia (six patients) and loss or invalidation of one or both parents, or loss of home, in childhood (seven patients). Eight patients were initially misdiagnosed as having psychogenic movement disorder. We conclude that the common misdiagnosis of SMS as a psychogenic movement disorder is due to the compelling association of a set of salient psychological features, bizarre and fluctuating motor symptoms, and lack of approved neurologic signs.",1996,/,Neurology,47,1,38-42,,,8710121,95,Henningsen 1996,,Clinical manifestations; Differential Diagnosis
Improvement of stiff-man syndrome with vigabatrin.,"Vermeij, F H; van Doorn, P A; Busch, H F",,1996,/,"Lancet (London, England)",348,9027,612,,,8774586,99,Vermeij 1996,Gustavo  Da Prat (2023-06-13 22:58:23)(Screen): there are 3 articles with similar titles - This one / Then Sharoqi (neurology 1998) and Prevett (neurology 1997) / ; Natalie Witek (2021-10-13 06:55:13)(Select): Duplicate?; ,Treatment
