issue_id,paper_id,covidence_id,title,authors,published_year,journal,stage,issue_type,severity,status,source_registry,source_field,revisit_reason,recommended_action,blocking_downstream,detected_at_utc
65|07_case_series_split|case_series_split_manual_review_required|case_series_split_registry.csv,65,65,Stiff man syndrome: clinical and laboratory findings in eight patients.,"Meinck, H M; Ricker, K; Hulser, P J; Schmid, E; Peiffer, J; Solimena, M",1994,Journal of neurology,07_case_series_split,case_series_split_manual_review_required,medium,manual_review_required,case_series_split_registry.csv,split_status,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",Review case boundaries manually or mark the paper unsuitable for case-level splitting.,true,2026-05-07T11:48:48.539687+00:00
95|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,95,95,Psychological factors in the diagnosis and pathogenesis of stiff-man syndrome.,"Henningsen, P; Clement, U; Kuchenhoff, J; Simon, F; Meinck, H M",1996,Neurology,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper explicitly reports a retrospective psychological evaluation of nine patients with stiff-man syndrome, and the body text confirms these nine as the study subjects, including two PERM cases counted within the SMS spectrum. However, several patients were previously reported elsewhere, so the cohort is extractable but provenance overlap is uncertain and should be manually checked.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T11:03:18.585921+00:00
95|07_case_series_split|case_series_split_manual_review_required|case_series_split_registry.csv,95,95,Psychological factors in the diagnosis and pathogenesis of stiff-man syndrome.,"Henningsen, P; Clement, U; Kuchenhoff, J; Simon, F; Meinck, H M",1996,Neurology,07_case_series_split,case_series_split_manual_review_required,medium,manual_review_required,case_series_split_registry.csv,split_status,Could not find at least two distinct explicit case/patient headings.,Review case boundaries manually or mark the paper unsuitable for case-level splitting.,true,2026-05-07T11:48:48.539883+00:00
108|06_sps_case_count|reference_heuristic_count_needs_review|source_sps_case_count_registry.csv,108,108,"Total alopecia, diabetes mellitus, and falls.","Mueller-Schoop, J W; Meyer, M",1996,"Lancet (London, England)",06_sps_case_count,reference_heuristic_count_needs_review,medium,reference_heuristic_manual_review_required,source_sps_case_count_registry.csv,count_manual_review_required,"reference_only_publish_fallback=true | count_basis=source_single_case_default | count_confidence=medium | candidate_notes=preferred_text_source=full_text; source_context_adjusted_primary_estimate; distinct_candidate_counts=[0, 1]; count_eligibility_status=extractable","Review the source or restore run artefacts, then replace the reference-only fallback with reviewed evidence.",true,2026-04-26T22:28:09.663705+00:00
114|07_case_series_split|case_series_split_manual_review_required|case_series_split_registry.csv,114,114,The stiff leg syndrome.,"Brown, P; Rothwell, J C; Marsden, C D",1997,"Journal of neurology, neurosurgery, and psychiatry",07_case_series_split,case_series_split_manual_review_required,medium,manual_review_required,case_series_split_registry.csv,split_status,Could not find at least two distinct explicit case/patient headings.,Review case boundaries manually or mark the paper unsuitable for case-level splitting.,true,2026-05-07T11:48:48.538919+00:00
126|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,126,126,Stiff-man syndrome: possible autoimmune etiology targeted against GABA-ergic cells.,"Warich-Kirches, M; Von Bossanyi, P; Treuheit, T; Kirches, E; Dietzmann, K; Feistner, H; Wittig, H",1997,Clinical neuropathology,06_sps_case_count,case_count_manual_review_required,medium,llm_semantic_conflict_manual_review_required,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=challenge | llm_semantic_conflict=COUNT_SPS_STATUS_UNCERTAIN | manual_review_gate=true | llm_count_confidence=high | challenge_reasons=semantic_validator_reject=COUNT_SPS_STATUS_UNCERTAIN | llm_selected_candidate_id=cand01 | validator_flags=COUNT_SPS_STATUS_UNCERTAIN | This is an original single-case report explicitly describing one female patient with stiff-man syndrome (older term for SPS). The additional controls and IDDM patients are comparator material, not SPS-spectrum cases, so the extractable SPS-spectrum count is 1.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T10:42:45.506429+00:00
126|07_case_series_split|case_series_split_manual_review_required|case_series_split_registry.csv,126,126,Stiff-man syndrome: possible autoimmune etiology targeted against GABA-ergic cells.,"Warich-Kirches, M; Von Bossanyi, P; Treuheit, T; Kirches, E; Dietzmann, K; Feistner, H; Wittig, H",1997,Clinical neuropathology,07_case_series_split,case_series_split_manual_review_required,medium,manual_review_required,case_series_split_registry.csv,split_status,Could not find at least two distinct explicit case/patient headings.,Review case boundaries manually or mark the paper unsuitable for case-level splitting.,true,2026-05-07T11:48:48.539050+00:00
134|07_case_series_split|case_series_split_manual_review_required|case_series_split_registry.csv,134,134,Intrathecal baclofen therapy for stiff-man syndrome and progressive encephalomyelopathy with rigidity and myoclonus.,"Stayer, C; Tronnier, V; Dressnandt, J; Mauch, E; Marquardt, G; Rieke, K; Muller-Schwefe, G; Schumm, F; Meinck, H M",1997,Neurology,07_case_series_split,case_series_split_manual_review_required,medium,manual_review_required,case_series_split_registry.csv,split_status,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",Review case boundaries manually or mark the paper unsuitable for case-level splitting.,true,2026-05-07T11:48:48.539140+00:00
155|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,155,155,Humoral and cellular immune parameters before and during immunosuppressive therapy of a patient with stiff-man syndrome and insulin dependent diabetes mellitus.,"Hummel, M; Durinovic-Bello, I; Bonifacio, E; Lampasona, V; Endl, J; Fessele, S; Then Bergh, F; Trenkwalder, C; Standl, E; Ziegler, A G",1998,"Journal of neurology, neurosurgery, and psychiatry",06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper is a single-case report and repeatedly states that the immune findings were studied in 'a patient' with autoimmune stiff-man syndrome and IDDM, supporting 1 unique SPS-spectrum case. The apparent count of 2 arises from two autoantigens (GAD and IA-2), not two patients; however, provenance signals indicate some methods/samples were previously described, so manual review remains appropriate.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T10:46:55.977203+00:00
175|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,175,175,GAD65-Reactive T cells in a non-diabetic stiff-man syndrome patient.,"Schloot, N C; Batstra, M C; Duinkerken, G; De Vries, R R; Dyrberg, T; Chaudhuri, A; Behan, P O; Roep, B O",1999,Journal of autoimmunity,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The safest extractable SPS-spectrum count is 1, based on the explicit diagnosis-specific table row for the index non-diabetic SMS patient. Although the abstract mentions comparison with 'two other SMS patients,' the evidence pack also flags prior-description/provenance uncertainty, so the broader total may include reused or non-original cases and should not be counted confidently here.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T10:49:26.084166+00:00
180|04_source_categorisation|source_category_manual_review_required|paper_artifact_registry.csv,180,180,Paraneoplastic stiff limb syndrome.,"Silverman, I E",1999,"Journal of neurology, neurosurgery, and psychiatry",04_source_categorisation,source_category_manual_review_required,medium,review_source_category,paper_artifact_registry.csv,source_manual_review_required,The extracted text does not match the title or topic of the target article. No SPS-spectrum patient data or relevant clinical information is present. Manual review is required to confirm the correct text and classification.,Review source category/routing and update the source categorisation manual-review ledger.,true,2026-04-05T19:54:21.916827+00:00
180|07_case_series_split|case_series_split_manual_review_required|case_series_split_registry.csv,180,180,Paraneoplastic stiff limb syndrome.,"Silverman, I E",1999,"Journal of neurology, neurosurgery, and psychiatry",07_case_series_split,case_series_split_manual_review_required,medium,manual_review_required,case_series_split_registry.csv,split_status,Could not find at least two distinct explicit case/patient headings.,Review case boundaries manually or mark the paper unsuitable for case-level splitting.,true,2026-05-07T11:48:48.539280+00:00
185|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,185,185,Stiff-man syndrome with vacuolar degeneration of anterior horn motor neurons.,"Saiz, A; Minguez, A; Graus, F; Marin, C; Tolosa, E; Cruz-Sanchez, F",1999,Journal of neurology,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper explicitly describes a single original stiff-man syndrome patient ('we present a SMS patient' followed by an individual case narrative). This supports a count of 1 unique SPS-spectrum case, but manual review remains appropriate because the evidence pack flags original cohort provenance uncertainty.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T10:50:36.261961+00:00
193|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,193,193,Marked improvement in a stiff-limb patient treated with intravenous immunoglobulin.,"Souza-Lima, C F; Ferraz, H B; Braz, C A; Araujo, A M; Manzano, G M",2000,Movement disorders : official journal of the Movement Disorder Society,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper is framed as a single case report and the full-text excerpt explicitly describes one patient with stiff-limb syndrome. Although there are upstream provenance uncertainty signals, the extractable original SPS-spectrum count in this paper is best supported as 1, with manual review retained because provenance overlap is flagged as uncertain.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T10:52:38.338633+00:00
193|07_case_series_split|case_series_split_manual_review_required|case_series_split_registry.csv,193,193,Marked improvement in a stiff-limb patient treated with intravenous immunoglobulin.,"Souza-Lima, C F; Ferraz, H B; Braz, C A; Araujo, A M; Manzano, G M",2000,Movement disorders : official journal of the Movement Disorder Society,07_case_series_split,case_series_split_manual_review_required,medium,manual_review_required,case_series_split_registry.csv,split_status,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",Review case boundaries manually or mark the paper unsuitable for case-level splitting.,true,2026-05-07T11:48:48.539329+00:00
197|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,197,197,Autoimmunity to gephyrin in Stiff-Man syndrome.,"Butler, M H; Hayashi, A; Ohkoshi, N; Villmann, C; Becker, C M; Feng, G; De Camilli, P; Solimena, M",2000,Neuron,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper is framed as a single case report and explicitly states that the authors report findings in a patient with clinical features of stiff-man syndrome, supporting 1 extractable SPS-spectrum case. Because the evidence pack flags original cohort provenance uncertainty and confidence is not high, this should remain for manual review.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T10:53:02.251482+00:00
208|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,208,208,Stiff-person like syndrome in a patient with multiple pituitary hormone deficiencies.,"Chroni, E; Papadimitriou, A; Avramidis, T; Terentiou, A E; Tzioras, C; Divari, R",2000,Acta neurologica Scandinavica,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | This is a single-patient case report describing one original patient in the present paper. The mention of a 'previously reported one' refers to prior literature and should not be counted, but it creates provenance uncertainty, so the count should still be manually checked.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T10:53:58.760953+00:00
211|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,211,211,A case of stiff limb syndrome responsive to plasma exchange.,"Coles, A; Barker, R",2001,"Journal of neurology, neurosurgery, and psychiatry",06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper is routed as a single case report, and the title explicitly states 'A case of stiff limb syndrome,' which supports one original SPS-spectrum patient. Because the extracted full-text context is noisy and confidence is not high, this should still receive manual review.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T10:54:18.647414+00:00
223|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,223,223,The stiff-person syndrome. Case report.,"Piovano, C; Piattelli, M; Spina, T; Iervese, G; Bosco, G",2002,Minerva anestesiologica,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper is explicitly labeled a case report/single-case report, and no evidence in the provided text indicates more than one original SPS-spectrum patient. However, the excerpt is dominated by background discussion and OCR noise rather than a clear patient narrative, so the single-case count should be retained with manual review.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T10:56:37.548453+00:00
228|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,228,228,Intrathecal baclofen for stiff-person syndrome: life-threatening intermittent catheter leakage.,"Bardutzky, J; Tronnier, V; Schwab, S; Meinck, H-M",2003,Neurology,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | This is a single-patient SPS case report: both the abstract and case report text describe one man diagnosed with SPS and treated with intrathecal baclofen. Count 1 is best supported, but manual review remains appropriate because the evidence pack flags provenance uncertainty.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T10:57:49.882299+00:00
233|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,233,233,Head retraction reflex in stiff-man syndrome and related disorders.,"Berger, Christian; Meinck, Hans-Michael",2003,Movement disorders : official journal of the Movement Disorder Society,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=challenge | verification_status=llm_candidate_exact | llm_count_confidence=medium | challenge_reasons=local_validation_conflict=28 vs 48 | llm_selected_candidate_id=cand02 | The paper explicitly reports an observational cohort of 50 patients composed of 28 SMS, 2 SLS, and 20 PERM; all three diagnoses are within the review's SPS-spectrum, so the extractable SPS-spectrum count is 48. Manual review remains appropriate because the evidence pack flags uncertain original-cohort provenance ('serum samples as described previously').","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T08:43:11.367867+00:00
239|07_case_series_split|case_series_split_manual_review_required|case_series_split_registry.csv,239,239,Clinically disparate stiff-person syndrome with GAD65 autoantibody in a father and daughter.,"Burns, T M; Jones, H R; Phillips, L H 2nd; Bugawan, T L; Erlich, H A; Lennon, V A",2003,Neurology,07_case_series_split,case_series_split_manual_review_required,medium,manual_review_required,case_series_split_registry.csv,split_status,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",Review case boundaries manually or mark the paper unsuitable for case-level splitting.,true,2026-05-07T11:48:48.539342+00:00
242|04_source_categorisation|source_category_manual_review_required|paper_artifact_registry.csv,242,242,Levetiracetam improves paroxysmal symptoms in a patient with stiff-person syndrome.,"Ruegg, Stephan J; Steck, Andreas J; Fuhr, Peter",2004,Neurology,04_source_categorisation,source_category_manual_review_required,medium,review_source_category,paper_artifact_registry.csv,source_manual_review_required,"The extracted text does not match the title or topic of the paper in question. None of the included clinical notes discuss stiff-person syndrome or levetiracetam. As a result, classification and case count are not possible without the correct article content.",Review source category/routing and update the source categorisation manual-review ledger.,true,2026-04-05T20:08:36.306902+00:00
243|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,243,243,Rhabdomyolysis and paraneoplastic stiff-man syndrome with amphiphysin autoimmunity.,"Petzold, Gabor C; Marcucci, Melissa; Butler, Margaret H; van Landeghem, Frank K H; Einhaupl, Karl M; Solimena, Michele; Valdueza, Jose M; De Camilli, Pietro",2004,Annals of neurology,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand04 | validator_flags=COUNT_SINGLE_CASE_MISMATCH | Although the abstract emphasizes one index case, the full-text evidence pack explicitly identifies two distinct SPS-spectrum patients: Patient 1 with paraneoplastic SMS and Patient 2 with SMS and antiamphiphysin autoimmunity. Therefore the diagnosis-specific subset count of 2 is the best-supported candidate, but manual review remains appropriate because the paper is routed as a single-case report and the second patient appears in a supporting/comparative context.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T08:45:04.585815+00:00
245|01_pdf_acquisition|pdf_acquisition_failed|pdf_acquisition_queue.csv,245,245,A delayed diagnosis of stiff person syndrome.,"Yeow, Toh Peng; Tomkin, Gerald H",2004,"Hospital medicine (London, England : 1998)",01_pdf_acquisition,pdf_acquisition_failed,high,failed,pdf_acquisition_queue.csv,download_status,Timed out waiting for the PDF link to appear.,"Acquire or retry the PDF, then rebuild PDF, text, source, and artefact registries.",true,2026-05-07T11:48:48.477612+00:00
247|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,247,247,Stiff-person syndromes: motor cortex hyperexcitability correlates with anti-GAD autoimmunity.,"Koerner, Claudia; Wieland, Bettina; Richter, Wiltrud; Meinck, Hans-Michael",2004,Neurology,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper explicitly reports a cohort of 21 patients with SPS or PER, comprising 15 SPS and 6 PER, with 7 untreated and 14 treated patients as analysis subgroups. This supports counting 21 unique SPS-spectrum patients, but provenance overlap is flagged as uncertain, so manual review remains appropriate.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T08:45:40.772469+00:00
248|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,248,248,"Paraneoplastic ""stiff person syndrome"" with metastatic adenocarcinoma and anti-Ri antibodies.","McCabe, D J H; Turner, N C; Chao, D; Leff, A; Gregson, N A; Womersley, H J; Mak, I; Perkin, G D; Schapira, A H V",2004,Neurology,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper is a single-case report and explicitly describes one 43-year-old woman with clinical and electrophysiologic features of stiff person syndrome. This supports a count of 1 unique SPS-spectrum patient, but manual review remains appropriate because the evidence pack flags original cohort provenance uncertainty and the candidate confidence is not high.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T08:46:02.492597+00:00
258|07_case_series_split|case_series_split_manual_review_required|case_series_split_registry.csv,258,258,Anti-glutamic acid decarboxylase antibodies in the serum and cerebrospinal fluid of patients with stiff-person syndrome: correlation with clinical severity.,"Rakocevic, Goran; Raju, Raghavanpillai; Dalakas, Marinos C",2004,Archives of neurology,07_case_series_split,case_series_split_manual_review_required,medium,manual_review_required,case_series_split_registry.csv,split_status,Could not find at least two distinct explicit case/patient headings.,Review case boundaries manually or mark the paper unsuitable for case-level splitting.,true,2026-05-07T11:48:48.539355+00:00
261|06_sps_case_count|case_count_manual_review_required|source_sps_case_count_registry.csv,261,261,Pregnancy in stiff-limb syndrome.,"Weatherby, Stuart J M; Woolner, Philippa; Clarke, Carl E",2004,Movement disorders : official journal of the Movement Disorder Society,06_sps_case_count,case_count_manual_review_required,medium,llm_candidate_exact,source_sps_case_count_registry.csv,count_manual_review_required,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The abstract explicitly describes a single original patient: 'the case of a woman with SLS.' This supports a count of 1 SPS-spectrum case, but manual review remains warranted because the evidence pack flags possible prior reporting/provenance uncertainty and the preferred full-text excerpt appears contaminated with unrelated article text.","Review the count evidence, update the count manual-review ledger or gold corpus, and rerun the stage-06 publish step.",true,2026-04-18T08:47:08.670658+00:00
