paper_id,covidence_id,title,authors,published_year,journal,tags,notes,text_json_path,preferred_text_json_path,preferred_text_source,proceedings_detected,trim_status,source_category,source_subtype,classification_confidence,likely_case_count,contains_individual_level_data,contains_group_level_data,case_series_split_candidate,preferred_langextract_mode,langextract_eligible,manual_review_required,recommended_next_action,conference_marker_hits,review_marker_hits,case_report_marker_hits,multi_case_marker_hits,observational_marker_hits,interventional_marker_hits,non_clinical_marker_hits,translational_marker_hits,patient_label_count,categorisation_reason,categorisation_version,categorised_at_utc
1054,1054,Efficacy of levetiracetam in case of stiff-person syndrome - Case report,Carrilho P.I.N.; Munhoz R.P.; Teive H.A.G.,2014,Revista Brasileira de Neurologia e Psiquiatria,Treatment,,data/extraction_json/text/1054.json,data/extraction_json/text/1054.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a single case report, as indicated by the title, section headings, and the detailed narrative of one patient's clinical course. No group-level or multiple patient data are presented.",llm_v1_gpt4.1,2026-04-05T19:02:28.729629+00:00
106,106,"Subacute encephalomyelitis presenting as stiff-person syndrome: clinical, polygraphic, and pathologic correlations.","Armon, C; Swanson, J W; McLean, J M; Westbrook, P R; Okazaki, H; Kurtin, P J; Kalyan-Raman, U P; Rodriguez, M",1996,Movement disorders : official journal of the Movement Disorder Society,Clinical manifestations,,data/extraction_json/text/106.json,data/extraction_json/text/106.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a classic single case report, with the entire article focused on the clinical course, investigations, and autopsy findings of one patient with SPS. There is no evidence of additional original SPS-spectrum cases.",llm_v1_gpt4.1,2026-04-05T19:02:48.411008+00:00
1068,1068,Progressive encephalomyelitis with rigidity and myoclonus: Anesthesia and glycine receptor antibodies,Papadopoulou A.; Samuels T.L.; Dassanayake A.; Spring C.; Willers J.; Uncles D.R.,2014,A and A Case Reports,Clinical manifestations; Electrophysiology; Treatment,Gustavo  Da Prat (2023-06-23 04:54:46)(Select): article doesn't match ;,data/extraction_json/text/1068.json,data/extraction_json/text/1068.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a single case report of a patient with PERM and GlyR antibodies, providing detailed individual-level clinical data. There is no evidence of additional SPS-spectrum patients or group-level data.",llm_v1_gpt4.1,2026-04-05T19:02:57.774135+00:00
10691,10691,VIGABATRIN IMPROVES RIGIDITY IN STIFF-PERSON SYNDROME (SPS),"LIGUORI, R; MEDORI, R; MARCHELLO, L; GRIMALDI, L; LUGARESI, E; MONTAGNA, P",1993,NEUROLOGY,Treatment,Karlo Lizarraga (2021-10-14 05:34:47)(Select): Unable to find abstract or full text. Looks like conference paper. Full text review required.;,data/extraction_json/text/10691.json,data/extraction_json/text/10691.json,full_text,true,manual_review_required,single_case_report,case_report,medium,1,true,false,false,individual,true,true,review_source_category_then_langextract,,,,,,,,,,"validator_flags=PROCEEDINGS_TRIM_PENDING | This is a conference abstract reporting on a single SPS patient treated with vigabatrin, with detailed individual-level clinical data. The structure and content match a single case report.",llm_v1_gpt4.1,2026-04-05T19:03:01.924265+00:00
10692,10692,SIGNIFICANT IMPROVEMENT OF STIFF-PERSON SYNDROME AFTER PARASPINAL INJECTION OF BOTULINUM TOXIN-A,"DAVIS, D; JABBARI, B",1993,MOVEMENT DISORDERS,,Davide Martino (2023-06-27 14:34:05)(Select): No full text uploaded;,data/extraction_json/text/10692.json,data/extraction_json/text/10692.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a classic single case report, as evidenced by the detailed narrative of one patient's clinical course, diagnostic findings, and response to botulinum toxin A. No group-level or multi-patient data are presented.",llm_v1_gpt4.1,2026-04-05T19:03:08.772600+00:00
10695,10695,ANESTHETIC IMPLICATIONS IN STIFF-PERSON SYNDROME,"JOHNSON, JO; MILLER, KA",1995,ANESTHESIA AND ANALGESIA,Review Article,"Benjamin Vlad (2023-07-01 23:00:33)(Select): wrong full text, removed it;",data/extraction_json/text/10695.json,data/extraction_json/text/10695.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,This is a single case report describing the anesthetic implications in a patient with SPS. The text provides individual-level clinical data for one patient and does not present group-level or aggregated data. The structure and content are consistent with a case report.,llm_v1_gpt4.1,2026-04-05T19:03:27.738534+00:00
10697,10697,STIFF-PERSON SYNDROME WITH ANTI-GLUTAMIC ACID DECARBOXYLASE AUTOANTIBODIES - COMPLETE REMISSION OF SYMPTOMS AFTER INTRATHECAL BACLOFEN ADMINISTRATION,"SEITZ, RJ; BLANK, B; KIWIT, JCW; BENECKE, R",1995,JOURNAL OF NEUROLOGY,,,data/extraction_json/text/10697.json,data/extraction_json/text/10697.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a classic single case report, providing detailed individual-level clinical data for one patient with SPS. There is no evidence of additional original SPS cases or group-level data.",llm_v1_gpt4.1,2026-04-05T19:03:46.634016+00:00
108,108,"Total alopecia, diabetes mellitus, and falls.","Mueller-Schoop, J W; Meyer, M",1996,"Lancet (London, England)",,,data/extraction_json/text/108.json,data/extraction_json/text/108.json,full_text,false,,single_case_report,case_report,high,,false,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,Manual review: Lancet case vignette describing a 56-year-old woman with SPS-linked autoimmune disease.,llm_v1_gpt4.1,2026-04-05T19:03:46.634643+00:00
10801,10801,"Stiff Person Syndrom, a rare neurological disease in long-term care resident.","Bhatt, T; Medina-Walpole, A; Marshall, FJ",2006,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,,,data/extraction_json/text/10801.json,data/extraction_json/text_trimmed/10801.json,trimmed,true,trimmed_auto,conference_abstract,single_case_conference_abstract,high,,false,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,Manual review: Proceedings abstract matched by title and authors; single long-term care case report of SPS.,llm_v1_gpt4.1,2026-04-05T19:03:46.648777+00:00
1087,1087,Stiff-person syndrome and myasthenia gravis as a paraneoplastic manifestation of thymoma,Pitha J.; Ehler E.,2014,Clinical and Experimental Neuroimmunology,Clinical manifestations; Electrophysiology; Treatment,,data/extraction_json/text/1087.json,data/extraction_json/text/1087.json,full_text,false,,single_case_report,case_report,high,,false,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,Manual review: Clinical letter describing one paraneoplastic SPS patient with thymoma and myasthenia gravis.,llm_v1_gpt4.1,2026-04-05T19:03:46.649800+00:00
1094,1094,Stiff-person syndrome associated with myotonic dystrophy type 2 - A case report,Ehler E.; Kopal A.; Mandysova P.; Vojtisek P.; Zamecnik J.,2014,Ceska a Slovenska Neurologie a Neurochirurgie,Clinical manifestations; Electrophysiology; Review Article; Treatment,Yasamin Mahjoub (2023-07-01 07:26:56)(Select): wrong pdf - replaced;,data/extraction_json/text/1094.json,data/extraction_json/text/1094.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a classic single case report, as indicated by the title, structure, and detailed individual-level reporting of one patient with both SPS and myotonic dystrophy type 2. No group-level or multi-patient data are presented.",llm_v1_gpt4.1,2026-04-05T19:03:52.764424+00:00
1097,1097,Stiff Limb Syndrome Mimicking Corticobasal Syndrome,Balint B.; Mahant N.; Meinck H.-M.; Fung V.,2014,Movement Disorders Clinical Practice,Clinical manifestations; Electrophysiology; Treatment,,data/extraction_json/text/1097.json,data/extraction_json/text/1097.json,full_text,false,,case_series_or_multi_case,case_series,high,2,true,false,true,individual_case_split,true,false,split_cases_then_langextract,,,,,,,,,,"This is a case series describing two original patients with SLS (a variant of SPS) mimicking corticobasal syndrome. The text provides detailed clinical, laboratory, and follow-up data for each patient, confirming original SPS-spectrum data and individual-level reporting.",llm_v1_gpt4.1,2026-04-05T19:04:13.414711+00:00
1098,1098,Spasmodic dysphonia like presentation of stiff person syndrome,Rana A.Q.; Masroor M.S.; Ismail B.,2014,Journal of Neurosciences in Rural Practice,Clinical manifestations; Electrophysiology; Treatment,,data/extraction_json/text/1098.json,data/extraction_json/text/1098.json,full_text,false,,single_case_report,case_report,high,,false,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,Manual review: Letter describing one woman whose SPS initially mimicked spasmodic dysphonia.,llm_v1_gpt4.1,2026-04-05T19:04:13.415355+00:00
11,11,A therapeutic trial of milacemide in myoclonus and the stiff-person syndrome.,"Brown, P; Thompson, P D; Rothwell, J C; Day, B L; Marsden, C D",1991,Movement disorders : official journal of the Movement Disorder Society,Clinical manifestations; Treatment,,data/extraction_json/text/11.json,data/extraction_json/text/11.json,full_text,false,,interventional_study,controlled_or_therapeutic_group_study,high,3,true,true,false,group,true,false,run_langextract_group,,,,,,,,,,"This is an interventional study (open-label trial) of milacemide in a mixed cohort of myoclonus and SPS patients. Three original SPS patients are included, with both individual and group-level data reported. The study is not a review, case report, or basic science paper.",llm_v1_gpt4.1,2026-04-05T19:04:17.376292+00:00
110,110,Stiff-man syndrome: abnormal late responses upon transcranial magnetic stimulation.,"Schulte-Mattler, W J; Zierz, S",1996,Muscle & nerve,Clinical manifestations; Electrophysiology; Treatment,,data/extraction_json/text/110.json,data/extraction_json/text/110.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a single case report of a 29-year-old woman with stiff-man syndrome, providing individual-level clinical and electrophysiological data. The structure and content are consistent with a single case report, and no group or series data are presented.",llm_v1_gpt4.1,2026-04-05T19:04:37.257605+00:00
1105,1105,Scoliosis in childhood-onset stiff person syndrome,Rasameesoraj T.; Katirji B.; Devereaux M.,2015,Neurology,Clinical manifestations; Electrophysiology; Treatment,,data/extraction_json/text/1105.json,data/extraction_json/text/1105.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a single case report, as indicated by the explicit mention of 'case report' in the methods and the detailed description of one patient's clinical course. There is no evidence of additional original SPS-spectrum patients.",llm_v1_gpt4.1,2026-04-05T19:04:40.886074+00:00
1106,1106,Rhabdomyolysis in stiff person syndrome: Case report,Gangadhara S.; Gandhy C.; Robertson D.,2015,Neurology,Clinical manifestations; Electrophysiology; Treatment,,data/extraction_json/text/1106.json,data/extraction_json/text/1106.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a single case report, as indicated by the title and the detailed description of one patient's clinical course. The report provides original SPS-spectrum data at the individual level.",llm_v1_gpt4.1,2026-04-05T19:04:44.095904+00:00
11109,11109,High-dose intravenous immunoglobulin in the treatment elf patients with stiff person syndrome: a controlled study,"Dalakas, MC",2004,INTRAVENOUS IMMUNOGLOBULINS IN THE THIRD MILLENNIUM,,"Yasamin Mahjoub (2023-06-11 19:02:07)(Select): It is a book that is a collection of proceedings of an international symposium held in Interlaken, Switzerland, in September 2003. 
I have requested this chapter through UCalgary Interlibrary Loan. ; Gustavo  Da Prat (2023-06-04 07:19:12)(Select): High-dose intravenous immune globulin for stiff-person syndrome. 2001; Benjamin Vlad (2023-06-01 06:12:42)(Select): It`s a book: 
https://books.google.ch/books/about/Intravenous_Immunoglobulins_in_the_Third.html?id=5iy0zQEACAAJ&redir_esc=y;",data/extraction_json/text/11109.json,data/extraction_json/text_trimmed/11109.json,trimmed,true,header_only_source,conference_abstract,single_case_conference_abstract,low,0,false,false,false,individual,true,true,review_source_category_then_langextract,,,,,,,,,,"validator_flags=EVIDENCE_NO_PAGES | The classification is based on metadata indicating this is a proceedings volume from a symposium, and the lack of substantive text. There is no evidence of original SPS patient data in the available text, but the full content is not accessible, so manual review is required.",llm_v1_gpt4.1,2026-04-05T19:04:47.296480+00:00
1112,1112,Practical management of stiff person syndrome in a limited resource setting-report of experiences in a two year follow-up,Siddi Ganie N.; Nichol R.; Janse Van Rensberg E.; Smit L.; Kruger A.; Nel M.; Lecuona E.,2015,European Journal of Neurology,,,data/extraction_json/text/1112.json,data/extraction_json/text_trimmed/1112.json,trimmed,true,trimmed_auto,conference_abstract,single_case_conference_abstract,high,,false,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,Manual review: Proceedings abstract matched by title and authors; three-patient treatment experience over two years.,llm_v1_gpt4.1,2026-04-05T19:04:47.309621+00:00
1116,1116,Paediatric neurological syndromes associated with glycine receptor antibodies,Gadian J.; Hacohen Y.; Kariyawasam S.; Woodhall M.; Brilot F.; Pillai S.; Suleiman J.; Lascelles K.; Pike M.; Munot P.; Vincent A.; Dale R.C.; Lim M.,2015,European Journal of Paediatric Neurology,,,data/extraction_json/text/1116.json,data/extraction_json/text/1116.json,full_text,false,not_needed,conference_abstract,group_conference_abstract,high,6,false,true,false,group,true,false,run_langextract_group,,,,,,,,,,"This is a conference abstract (single page, supplement issue, 'S' page number) reporting original group-level clinical data on six pediatric patients with GlyR antibodies, including SPS-spectrum presentations. The data is not individual-level but does provide aggregate clinical outcomes.",llm_v1_gpt4.1,2026-04-05T19:05:06.645713+00:00
1117,1117,Glycine receptor antibody mediated progressive encephalomyelitis with rigidity and myoclonus (PERM) presenting as an abnormal startle response in an adolescent girl,Patel A.; Boyd S.; Amin B.; Robinson R.; Woodhall M.; Vincent A.; Hemingway C.; Munot P.,2015,European Journal of Paediatric Neurology,,,data/extraction_json/text/1117.json,data/extraction_json/text_trimmed/1117.json,trimmed,true,header_only_source,conference_abstract,single_case_conference_abstract,high,,false,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,Manual review: Proceedings abstract matched by title and authors; adolescent girl with GlyR-antibody PERM.,llm_v1_gpt4.1,2026-04-05T19:05:06.646499+00:00
1118,1118,Prolonged cortical hyperexcitability during burst-suppression associated with glycine receptor antibodies,Patel A.; Janackova S.; Munot P.; Vincent A.; Boyd S.,2015,European Journal of Paediatric Neurology,Clinical manifestations; Electrophysiology; Treatment,,data/extraction_json/text/1118.json,data/extraction_json/text/1118.json,full_text,true,manual_review_required,conference_abstract,single_case_conference_abstract,high,,false,false,false,individual,true,false,trim_or_review_proceedings,,,,,,,,,,Manual review: Proceedings abstract matched by title and authors; one pediatric GlyR-antibody PERM case with burst-suppression.,llm_v1_gpt4.1,2026-04-05T19:05:06.647079+00:00
1119,1119,Antibody spectrum in stiff person syndrome and related disorders,Balint B.; Blocker I.M.; Unger M.; Stocker W.; Probst C.; Komorowski L.; Meinck H.M.,2015,Movement Disorders,Clinical manifestations; Electrophysiology; Immunological - Lab tests; Review Article; Treatment,Bettina Balint (2023-08-28 18:47:38)(Select): No; Annu Aggarwal (2021-10-19 05:12:18)(Select): BB please confirm if this info is covered in your subsequent papers;,data/extraction_json/text/1119.json,data/extraction_json/text_trimmed/1119.json,trimmed,true,trimmed_auto,conference_abstract,single_case_conference_abstract,high,,false,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,Manual review: Proceedings abstract matched by title and authors; large antibody-spectrum cohort rather than case-level source.,llm_v1_gpt4.1,2026-04-05T19:05:06.678163+00:00
11193,11193,STIFF PERSON AND RELATED SYNDROMES: REVIEW OF 21 PATIENTS AND THEIR RESPONSE TO TREATMENT,"Thompson, J; Sadalage, G; Karim, A; Jacob, S",2019,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,,,data/extraction_json/text/11193.json,data/extraction_json/text/11193.json,full_text,false,,conference_abstract,group_conference_abstract,high,21,false,true,false,group,true,false,run_langextract_group,,,,,,,,,,"This is a conference abstract (single page, E8, session listing, and abstract format) reporting original group-level data on 21 SPS-spectrum patients. The methods and results sections confirm original data collection and analysis.",llm_v1_gpt4.1,2026-04-05T19:05:10.592037+00:00
112,112,Anti-gabaergic neuron autoantibodies in a patient with stiff-man syndrome and ataxia.,"Giometto, B; Miotto, D; Faresin, F; Argentiero, V; Scaravilli, T; Tavolato, B",1996,Journal of the neurological sciences,Clinical manifestations; Electrophysiology; Treatment,,data/extraction_json/text/112.json,data/extraction_json/text/112.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a single case report, as indicated by the detailed description of one patient's clinical course, laboratory findings, and discussion focused solely on this individual. The paper does not present group-level or multi-patient data.",llm_v1_gpt4.1,2026-04-05T19:05:16.680331+00:00
1120,1120,Anti-GAD65 negative stiff-person syndrome with a favorable response to pregabalin: A case post-thymoma excision accompanying central sleep apnea,Zhang G.; Liu L.; Xiong N.; Huang J.; Wang T.,2015,Movement Disorders,Clinical manifestations; Electrophysiology; Treatment,Gustavo  Da Prat (2023-06-24 07:49:10)(Select): Abstract 740; Camila Aquino (2021-07-04 03:42:15)(Screen): Conference Abstract - excluding;,data/extraction_json/text/1120.json,data/extraction_json/text_trimmed/1120.json,trimmed,true,trimmed_auto,conference_abstract,single_case_conference_abstract,high,,false,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,Manual review: Proceedings abstract matched by title and authors; one anti-GAD-negative post-thymoma SPS case responsive to pregabalin.,llm_v1_gpt4.1,2026-04-05T19:05:16.712529+00:00
11200,11200,A CASE OF PEDIATRIC STIFF-PERSON SYNDROME IN KENYA,"Lee, S; Oundoh, NL; Mercer, T; Humphrey, J; Oyungu, E",2020,AFRICAN JOURNAL OF NEUROLOGICAL SCIENCES,,,data/extraction_json/text/11200.json,data/extraction_json/text/11200.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a classic single case report, as indicated by the title, structure, and detailed narrative of one patient's clinical course. The report provides individual-level data and does not aggregate or discuss a cohort.",llm_v1_gpt4.1,2026-04-05T19:05:35.767135+00:00
1129,1129,"GAD autoimmunity: Syndromes, comorbidities, and coexisting antibodies in 121 patients",Arino H.; Gresa-Arribas N.; Hoftberger R.; Martinez-Hernandez E.; Armangue T.; Kruer M.C.; Arpa J.; Domingo J.; Rojc B.; Bataller L.; Saiz A.; Dalmau J.; Graus F.,2015,Annals of Neurology,,Davide Martino (2024-05-18 13:31:32)(Included): No extractable data;,data/extraction_json/text/1129.json,data/extraction_json/text_trimmed/1129.json,trimmed,true,header_only_source,conference_abstract,group_conference_abstract,high,0,false,true,false,group,true,false,run_langextract_group,,,,,,,,,,"This is a conference abstract (proceedings detected, single page, supplement issue) reporting on a mixed cohort of GAD antibody-associated syndromes. While SPS is mentioned, no extractable original SPS-spectrum patient data is provided.",llm_v1_gpt4.1,2026-04-05T19:05:38.921001+00:00
113,113,Gastrointestinal involvement in neurologic disorders: Stiff-man and Charcot-Marie-Tooth syndromes.,"Soykan, I; McCallum, R W",1997,The American journal of the medical sciences,Clinical manifestations; Electrophysiology; Treatment,,data/extraction_json/text/113.json,data/extraction_json/text/113.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a dual case report, with detailed individual-level clinical data for one patient with Stiff-man syndrome and one with Charcot-Marie-Tooth syndrome. Only the SMS patient is SPS-spectrum, so the paper is classified as a single case report with 1 original SPS-spectrum patient.",llm_v1_gpt4.1,2026-04-05T19:05:58.145803+00:00
11318,11318,PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY - ITS RELATION TO SUBACUTE MYOCLONIC SPINAL NEURONITIS AND TO STIFF MAN SYNDROME,"WHITELEY, AM; SWASH, M; URICH, H",1976,BRAIN,,,data/extraction_json/text/11318.json,data/extraction_json/text/11318.json,full_text,false,,case_series_or_multi_case,case_series,high,2,true,false,true,individual_case_split,true,false,split_cases_then_langextract,,,,,,,,,,"This is a case series describing two original patients with progressive encephalomyelitis with rigidity, including detailed clinical and pathological data. The text provides individual-level data for both cases, and there is no indication that additional original SPS-spectrum patients are included.",llm_v1_gpt4.1,2026-04-05T19:06:02.994945+00:00
1133,1133,Favorable response of botulinum toxin to the axial muscle spasms in a patient with stiff-person syndrome autoimmune: A case report,Correa Ospina D.; Paula Andrea Millan Giraldo P.; Jose Mauricio Cardenas Prieto J.; Omar Fredy Buritica O.; Simon Uribe Vargas S.,2015,Journal of the Neurological Sciences,,,data/extraction_json/text/1133.json,data/extraction_json/text/1133.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"This is a single case report, as indicated by the title and the detailed description of one patient's clinical course, diagnosis, and treatment. The report contains original, individual-level SPS-spectrum data.",llm_v1_gpt4.1,2026-04-05T19:06:22.011792+00:00
1135,1135,Stiff person syndrome in a 64 year old male Filipino: A case report,Blanco P.; Belonguel N.J.,2015,Journal of the Neurological Sciences,,,data/extraction_json/text/1135.json,data/extraction_json/text/1135.json,full_text,false,,single_case_report,case_report,high,1,true,false,false,individual,true,false,run_langextract_individual,,,,,,,,,,"The title, abstract, and extracted text all indicate this is a single case report of SPS. The report provides detailed individual-level clinical data, including presentation, examination, EMG findings, antibody testing, and treatment response.",llm_v1_gpt4.1,2026-04-05T19:06:25.168916+00:00
