covidence_id,ref,study,title,authors,published_year,journal,doi,tags,card_identifier_text,card_first_author,card_year,card_authors_full,card_publication_title,card_title_matches_export,card_authors_match_export,card_year_matches_export,pdf_filename,pdf_path_relative,pdf_path_absolute,local_file_count,download_status,manifest_status,download_method,download_url,manifest_error
34,8423873,Darnell 1993,A novel antineuronal antibody in stiff-man syndrome.,"Darnell, R B; Victor, J; Rubin, M; Clouston, P; Plum, F",1993,Neurology,,Clinical manifestations; Immunological - Lab tests,#34 – Darnell 1993,Darnell,1993,"Darnell, R B; Victor, J; Rubin, M; Clouston, P; Plum, F",A novel antineuronal antibody in stiff-man syndrome.,true,true,true,34_Darnell-1993-A novel antineuronal antibody in stiff-man syndrome.pdf,data\pdf_original\34_Darnell-1993-A novel antineuronal antibody in stiff-man syndrome.pdf,C:\Projects\sps-review\data\pdf_original\34_Darnell-1993-A novel antineuronal antibody in stiff-man syndrome.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651775/34.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T182056Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=87b3f5c232726032651d98230622f37eb46c9da349ef66dad45e57b275911ef6,
38,8455662,Voci 1993,Intravenous methocarbamol in the treatment of stiff-man syndrome.,"Voci, J M; al-Hakim, M; Dokko, Y; Katirji, M B",1993,Muscle & nerve,,Treatment,#38 – Voci 1993,Voci,1993,"Voci, J M; al-Hakim, M; Dokko, Y; Katirji, M B",Intravenous methocarbamol in the treatment of stiff-man syndrome.,true,true,true,38_Voci-1993-Intravenous methocarbamol in the treatment of stiff-man syndrome.pdf,data\pdf_original\38_Voci-1993-Intravenous methocarbamol in the treatment of stiff-man syndrome.pdf,C:\Projects\sps-review\data\pdf_original\38_Voci-1993-Intravenous methocarbamol in the treatment of stiff-man syndrome.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651779/38.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T193126Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=ebcd6cd847ede9fe1a6d7eb7458376a3ec2cfb18426b757be7c9f2dff2d785e8,
39,8517681,Grimaldi 1993,Heterogeneity of autoantibodies in stiff-man syndrome.,"Grimaldi, L M; Martino, G; Braghi, S; Quattrini, A; Furlan, R; Bosi, E; Comi, G",1993,Annals of neurology,,,#39 – Grimaldi 1993,Grimaldi,1993,"Grimaldi, L M; Martino, G; Braghi, S; Quattrini, A; Furlan, R; Bosi, E; Comi, G",Heterogeneity of autoantibodies in stiff-man syndrome.,true,true,true,39_Grimaldi-1993-Heterogeneity of autoantibodies.pdf,data\pdf_original\39_Grimaldi-1993-Heterogeneity of autoantibodies.pdf,C:\Projects\sps-review\data\pdf_original\39_Grimaldi-1993-Heterogeneity of autoantibodies.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651780/Grimaldi-1993-Heterogeneity%20of%20autoantibodies.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T183233Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=b53554fabccb153824a257bd930fadccb5d1fe1ddd4f102e72d76b94c73f0d61,
41,7506741,Li 1994,Identification of autoantibody epitopes of glutamic acid decarboxylase in stiff-man syndrome patients.,"Li, L; Hagopian, W A; Brashear, H R; Daniels, T; Lernmark, A",1994,"Journal of immunology (Baltimore, Md. : 1950)",,Immunological - Lab tests,,,,,,,,,,,,0,missing,,,,
43,7519242,Kim 1994,"Higher autoantibody levels and recognition of a linear NH2-terminal epitope in the autoantigen GAD65, distinguish stiff-man syndrome from insulin-dependent diabetes mellitus.","Kim, J; Namchuk, M; Bugawan, T; Fu, Q; Jaffe, M; Shi, Y; Aanstoot, H J; Turck, C W; Erlich, H; Lennon, V; Baekkeskov, S",1994,The Journal of experimental medicine,,Clinical manifestations,#43 – Kim 1994,Kim,1994,"Kim, J; Namchuk, M; Bugawan, T; Fu, Q; Jaffe, M; Shi, Y; Aanstoot, H J; Turck, C W; Erlich, H; Lennon, V; Baekkeskov, S","Higher autoantibody levels and recognition of a linear NH2-terminal epitope in the autoantigen GAD65, distinguish stiff-man syndrome from insulin-dependent diabetes mellitus.",true,true,true,43_Kim-1994-Higher autoantibody levels and recogn.pdf,data\pdf_original\43_Kim-1994-Higher autoantibody levels and recogn.pdf,C:\Projects\sps-review\data\pdf_original\43_Kim-1994-Higher autoantibody levels and recogn.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651784/Kim-1994-Higher%20autoantibody%20levels%20and%20recogn.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T184023Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=b12a9d996b918f006dcc2be8465b29346e744e08ef37389f598d25f2b7238d12,
49,7934413,Pugliese 1994,Genetics of susceptibility and resistance to insulin-dependent diabetes in stiff-man syndrome.,"Pugliese, A; Gianani, R; Eisenbarth, G S; De Camilli, P; Solimena, M",1994,"Lancet (London, England)",,Clinical manifestations,#49 – Pugliese 1994,Pugliese,1994,"Pugliese, A; Gianani, R; Eisenbarth, G S; De Camilli, P; Solimena, M",Genetics of susceptibility and resistance to insulin-dependent diabetes in stiff-man syndrome.,true,true,true,49_Pugliese 1994.pdf,data\pdf_original\49_Pugliese 1994.pdf,C:\Projects\sps-review\data\pdf_original\49_Pugliese 1994.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651790/Pugliese%201994.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T190418Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=e2db3cd5c1ed2ac044806b017f8f27a6140ce46476aafe940dd7b0b58ea1352a,
52,7936291,Amato 1994,Treatment of stiff-man syndrome with intravenous immunoglobulin.,"Amato, A A; Cornman, E W; Kissel, J T",1994,Neurology,,,#52 – Amato 1994,Amato,1994,"Amato, A A; Cornman, E W; Kissel, J T",Treatment of stiff-man syndrome with intravenous immunoglobulin.,true,true,true,52_amato-et-al-1994-treatment-of-stiff-man-syndrome-with-intravenous-immunoglobulin.pdf,data\pdf_original\52_amato-et-al-1994-treatment-of-stiff-man-syndrome-with-intravenous-immunoglobulin.pdf,C:\Projects\sps-review\data\pdf_original\52_amato-et-al-1994-treatment-of-stiff-man-syndrome-with-intravenous-immunoglobulin.pdf,1,downloaded,failed,,,Timed out waiting for the PDF link to appear.
55,7969992,Meinck 1994,Intrathecal baclofen treatment for stiff-man syndrome: pump failure may be fatal.,"Meinck, H M; Tronnier, V; Rieke, K; Wirtz, C R; Flugel, D; Schwab, S",1994,Neurology,,Clinical manifestations; Treatment,#55 – Meinck 1994,Meinck,1994,"Meinck, H M; Tronnier, V; Rieke, K; Wirtz, C R; Flugel, D; Schwab, S",Intrathecal baclofen treatment for stiff-man syndrome: pump failure may be fatal.,true,true,true,55_meinck-et-al-1994-intrathecal-baclofen-treatment-for-stiff-man-syndrome-pump-failure-may-be-fatal.pdf,data\pdf_original\55_meinck-et-al-1994-intrathecal-baclofen-treatment-for-stiff-man-syndrome-pump-failure-may-be-fatal.pdf,C:\Projects\sps-review\data\pdf_original\55_meinck-et-al-1994-intrathecal-baclofen-treatment-for-stiff-man-syndrome-pump-failure-may-be-fatal.pdf,1,downloaded,failed,,,Timed out waiting for the PDF link to appear.
58,8003064,Karlson 1994,Treatment of stiff-man syndrome with intravenous immune globulin.,"Karlson, E W; Sudarsky, L; Ruderman, E; Pierson, S; Scott, M; Helfgott, S M",1994,Arthritis and rheumatism,,Clinical manifestations; Treatment,#58 – Karlson 1994,Karlson,1994,"Karlson, E W; Sudarsky, L; Ruderman, E; Pierson, S; Scott, M; Helfgott, S M",Treatment of stiff-man syndrome with intravenous immune globulin.,true,true,true,58_Karlson-1994-Treatment of stiff-man syndrome w.pdf,data\pdf_original\58_Karlson-1994-Treatment of stiff-man syndrome w.pdf,C:\Projects\sps-review\data\pdf_original\58_Karlson-1994-Treatment of stiff-man syndrome w.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651799/Karlson-1994-Treatment%20of%20stiff-man%20syndrome%20w.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T184014Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=aab65c4f12b053482f28f1f72793f3e9ad14e967f85b797cdd9f811d6840fc1e,
62,8076697,David 1994,"Autoimmunity in stiff-Man syndrome with breast cancer is targeted to the C-terminal region of human amphiphysin, a protein similar to the yeast proteins, Rvs167 and Rvs161.","David, C; Solimena, M; De Camilli, P",1994,FEBS letters,,Immunological - Lab tests,#62 – David 1994,David,1994,"David, C; Solimena, M; De Camilli, P","Autoimmunity in stiff-Man syndrome with breast cancer is targeted to the C-terminal region of human amphiphysin, a protein similar to the yeast proteins, Rvs167 and Rvs161.",true,true,true,62_David-1994-Autoimmunity in stiff-Man syndrome.pdf,data\pdf_original\62_David-1994-Autoimmunity in stiff-Man syndrome.pdf,C:\Projects\sps-review\data\pdf_original\62_David-1994-Autoimmunity in stiff-Man syndrome.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651803/David-1994-Autoimmunity%20in%20stiff-Man%20syndrome.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T182057Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=9a65b8043f6471c4ca78418e527ebafb1accfd62794288836140bebf04a3c904,
65,8164018,Meinck 1994,Stiff man syndrome: clinical and laboratory findings in eight patients.,"Meinck, H M; Ricker, K; Hulser, P J; Schmid, E; Peiffer, J; Solimena, M",1994,Journal of neurology,,Clinical manifestations; Immunological - Lab tests,#65 – Meinck 1994,Meinck,1994,"Meinck, H M; Ricker, K; Hulser, P J; Schmid, E; Peiffer, J; Solimena, M",Stiff man syndrome: clinical and laboratory findings in eight patients.,true,true,true,65_Meinck 1994 - Stiff man syndrome.pdf,data\pdf_original\65_Meinck 1994 - Stiff man syndrome.pdf,C:\Projects\sps-review\data\pdf_original\65_Meinck 1994 - Stiff man syndrome.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651806/Meinck%201994%20-%20Stiff%20man%20syndrome.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T185217Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=55a9bec4f8fe843edef4964bb46d86eaba67fc51c642c478a6343c2bd5069d88,
69,8203996,Tarsy 1994,Stiff-man syndrome. Report of a case.,"Tarsy, D; Miyawaki, E K",1994,Archives of internal medicine,,Clinical manifestations,#69 – Tarsy 1994,Tarsy,1994,"Tarsy, D; Miyawaki, E K",Stiff-man syndrome. Report of a case.,true,true,true,69_Tarsy-1994-Stiff-man syndrome. Report of a cas.pdf,data\pdf_original\69_Tarsy-1994-Stiff-man syndrome. Report of a cas.pdf,C:\Projects\sps-review\data\pdf_original\69_Tarsy-1994-Stiff-man syndrome. Report of a cas.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651810/Tarsy-1994-Stiff-man%20syndrome.%20Report%20of%20a%20cas.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T192629Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=365d9738b253564993f3e95af47a3b3dc6cbfc8bfaf8beabc530ed511497c337,
71,7477988,Silbert 1995,"Intrathecal baclofen therapy in stiff-man syndrome: a double-blind, placebo-controlled trial.","Silbert, P L; Matsumoto, J Y; McManis, P G; Stolp-Smith, K A; Elliott, B A; McEvoy, K M",1995,Neurology,,Treatment,#71 – Silbert 1995,Silbert,1995,"Silbert, P L; Matsumoto, J Y; McManis, P G; Stolp-Smith, K A; Elliott, B A; McEvoy, K M","Intrathecal baclofen therapy in stiff-man syndrome: a double-blind, placebo-controlled trial.",true,true,true,71_Silbert-1995-Intrathecal baclofen therapy in s.pdf,data\pdf_original\71_Silbert-1995-Intrathecal baclofen therapy in s.pdf,C:\Projects\sps-review\data\pdf_original\71_Silbert-1995-Intrathecal baclofen therapy in s.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651812/Silbert-1995-Intrathecal%20baclofen%20therapy%20in%20s.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T191846Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=27ca3b15ff68459c115704e61aebe9efa071d807a73f090ba9dd020d400b5b5e,
75,7584754,Kuhn 1995,Stiff-man syndrome: case report.,"Kuhn, W F; Light, P J; Kuhn, S C",1995,Academic emergency medicine : official journal of the Society for Academic Emergency Medicine,,,#75 – Kuhn 1995,Kuhn,1995,"Kuhn, W F; Light, P J; Kuhn, S C",Stiff-man syndrome: case report.,true,true,true,75_Kuhn-1995-Stiff-man syndrome_ case report.pdf,data\pdf_original\75_Kuhn-1995-Stiff-man syndrome_ case report.pdf,C:\Projects\sps-review\data\pdf_original\75_Kuhn-1995-Stiff-man syndrome_ case report.pdf,1,downloaded,downloaded,direct_fetch,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/277651816/Kuhn-1995-Stiff-man%20syndrome_%20case%20report.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20260301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260301T184346Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=5e74d55f6f922678e05185bd733bcd7a95c99bc0805c093e6ad452f48eeb4153,
