paper_id,manually_reviewed_MC,batch_id,manifest_json_path,stage07_paper_json_path,stage07_segments_json_path,stage07_target_view_json_path,stage07_validation_json_path,stage07_annotated_xml_path,stage06_json_source,stage06_candidate_json_path,stage06_count_evidence_json_path,stage06_result_json_path,stage06_gold_result_json_path,covidence_id,title,authors,source_category,source_subtype,preferred_text_json_path,preferred_text_source,count_eligible,likely_sps_case_count,count_confidence,count_basis,count_manual_review_required,count_original_cohort_provenance_uncertain,count_reason,count_version,heuristic_likely_sps_case_count,heuristic_count_confidence,heuristic_count_basis,heuristic_candidate_count,llm_likely_sps_case_count,llm_count_confidence,llm_selected_candidate_id,heuristic_fallback_used,count_audit_status,count_verification_status,count_validator_flags,counted_at_utc
106,FALSE,batch001,qa\validation\stage07_single_case_codex_gold\batch001\manifest.json,qa\validation\stage07_single_case_codex_gold\batch001\json\papers\106.json,qa\validation\stage07_single_case_codex_gold\batch001\json\segments\106.segments.json,qa\validation\stage07_single_case_codex_gold\batch001\json\target_views\106\p1.json,qa\validation\stage07_single_case_codex_gold\batch001\json\validation\106.validation.json,qa\validation\stage07_single_case_codex_gold\batch001\xml\106.annotated.xml,stage06_count_gold,,,,qa\validation\source_categorisation\gold_standard\stage06_count_gold\papers\106.json,106,"Subacute encephalomyelitis presenting as stiff-person syndrome: clinical, polygraphic, and pathologic correlations.","Armon, C; Swanson, J W; McLean, J M; Westbrook, P R; Okazaki, H; Kurtin, P J; Kalyan-Raman, U P; Rodriguez, M",single_case_report,case_report,data\extraction_json\text\106.json,full_text,true,1,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=2026-04-05_round_03 | selection_bucket=high_confidence_control | prediction_correct=true | reviewed_count=1 | reviewed_source_category=single_case_report | predicted_count=1 | predicted_source_category=single_case_report,gold_reviewed_stage06_v1,,,,,,,,,manual_gold_review,manual_gold_review,,2026-04-05T15:53:48.556596+00:00
110,FALSE,batch001,qa\validation\stage07_single_case_codex_gold\batch001\manifest.json,qa\validation\stage07_single_case_codex_gold\batch001\json\papers\110.json,qa\validation\stage07_single_case_codex_gold\batch001\json\segments\110.segments.json,qa\validation\stage07_single_case_codex_gold\batch001\json\target_views\110\p1.json,qa\validation\stage07_single_case_codex_gold\batch001\json\validation\110.validation.json,qa\validation\stage07_single_case_codex_gold\batch001\xml\110.annotated.xml,stage06_count_gold,,,,qa\validation\source_categorisation\gold_standard\stage06_count_gold\papers\110.json,110,Stiff-man syndrome: abnormal late responses upon transcranial magnetic stimulation.,"Schulte-Mattler, W J; Zierz, S",single_case_report,case_report,data/extraction_json/text/110.json,full_text,true,1,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=stage04_llm_category_2026-04-05_round_01 | selection_bucket=high_confidence_control | prediction_correct=true | reviewed_count=1 | reviewed_source_category=single_case_report | predicted_count=1 | predicted_source_category=single_case_report,gold_reviewed_stage06_v1,,,,,,,,,manual_gold_review,manual_gold_review,,2026-04-05T18:00:39.895306+00:00
112,FALSE,batch001,qa\validation\stage07_single_case_codex_gold\batch001\manifest.json,qa\validation\stage07_single_case_codex_gold\batch001\json\papers\112.json,qa\validation\stage07_single_case_codex_gold\batch001\json\segments\112.segments.json,qa\validation\stage07_single_case_codex_gold\batch001\json\target_views\112\p1.json,qa\validation\stage07_single_case_codex_gold\batch001\json\validation\112.validation.json,qa\validation\stage07_single_case_codex_gold\batch001\xml\112.annotated.xml,stage06_count_gold,,,,qa\validation\source_categorisation\gold_standard\stage06_count_gold\papers\112.json,112,Anti-gabaergic neuron autoantibodies in a patient with stiff-man syndrome and ataxia.,"Giometto, B; Miotto, D; Faresin, F; Argentiero, V; Scaravilli, T; Tavolato, B",single_case_report,case_report,data/extraction_json/text/112.json,full_text,true,1,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=stage04_llm_category_2026-04-05_round_01 | selection_bucket=high_confidence_control | prediction_correct=true | reviewed_count=1 | reviewed_source_category=single_case_report | predicted_count=1 | predicted_source_category=single_case_report,gold_reviewed_stage06_v1,,,,,,,,,manual_gold_review,manual_gold_review,,2026-04-05T18:01:00.463928+00:00
113,FALSE,batch001,qa\validation\stage07_single_case_codex_gold\batch001\manifest.json,qa\validation\stage07_single_case_codex_gold\batch001\json\papers\113.json,qa\validation\stage07_single_case_codex_gold\batch001\json\segments\113.segments.json,qa\validation\stage07_single_case_codex_gold\batch001\json\target_views\113\p1.json,qa\validation\stage07_single_case_codex_gold\batch001\json\validation\113.validation.json,qa\validation\stage07_single_case_codex_gold\batch001\xml\113.annotated.xml,stage06_count_runs,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\candidate_packages\113.json,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\count_evidence\113.json,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\results\113.json,,113,Gastrointestinal involvement in neurologic disorders: Stiff-man and Charcot-Marie-Tooth syndromes.,"Soykan, I; McCallum, R W",single_case_report,case_report,data\extraction_json\text\113.json,full_text,true,1,high,diagnosis_specific_mixed_diagnosis_subgroup_count,false,false,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=high | llm_selected_candidate_id=cand01 | The paper reports two patients total, but they are mixed diagnoses: one with stiff-man syndrome and one with Charcot-Marie-Tooth syndrome. Only the stiff-man syndrome patient is within the SPS-spectrum, so the diagnosis-specific subgroup count of 1 is the best-supported extractable SPS-spectrum case count.",hybrid_v2_gpt-5.4,1,high,diagnosis_specific_mixed_diagnosis_subgroup_count,5,1,high,cand01,false,hybrid_local_gpt,llm_candidate_exact,,2026-04-18T10:41:39.336825+00:00
115,FALSE,batch001,qa\validation\stage07_single_case_codex_gold\batch001\manifest.json,qa\validation\stage07_single_case_codex_gold\batch001\json\papers\115.json,qa\validation\stage07_single_case_codex_gold\batch001\json\segments\115.segments.json,qa\validation\stage07_single_case_codex_gold\batch001\json\target_views\115\p1.json,qa\validation\stage07_single_case_codex_gold\batch001\json\validation\115.validation.json,qa\validation\stage07_single_case_codex_gold\batch001\xml\115.annotated.xml,stage06_count_gold,,,,qa\validation\source_categorisation\gold_standard\stage06_count_gold\papers\115.json,115,Improvement of stiff-man syndrome with vigabatrin.,"Prevett, M C; Brown, P; Duncan, J S",single_case_report,case_report,data/extraction_json/text/115.json,full_text,true,1,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=stage04_llm_category_2026-04-05_round_02 | selection_bucket=high_confidence_control | prediction_correct=true | reviewed_count=1 | reviewed_source_category=single_case_report | predicted_count=1 | predicted_source_category=single_case_report,gold_reviewed_stage06_v1,,,,,,,,,manual_gold_review,manual_gold_review,,2026-04-05T18:48:05.640020+00:00
118,FALSE,batch001,qa\validation\stage07_single_case_codex_gold\batch001\manifest.json,qa\validation\stage07_single_case_codex_gold\batch001\json\papers\118.json,qa\validation\stage07_single_case_codex_gold\batch001\json\segments\118.segments.json,qa\validation\stage07_single_case_codex_gold\batch001\json\target_views\118\p1.json,qa\validation\stage07_single_case_codex_gold\batch001\json\validation\118.validation.json,qa\validation\stage07_single_case_codex_gold\batch001\xml\118.annotated.xml,stage06_count_gold,,,,qa\validation\source_categorisation\gold_standard\stage06_count_gold\papers\118.json,118,Stiff-persons' syndrome associated with thymoma and subsequent myasthenia gravis.,"Nicholas, A P; Chatterjee, A; Arnold, M M; Claussen, G C; Zorn, G L Jr; Oh, S J",single_case_report,case_report,data/extraction_json/text/118.json,full_text,true,1,high,manual_gold_review,false,false,count_basis=manual_gold_review | count_confidence=high | round_id=stage04_llm_category_2026-04-05_round_02 | selection_bucket=high_confidence_control | prediction_correct=true | reviewed_count=1 | reviewed_source_category=single_case_report | predicted_count=1 | predicted_source_category=single_case_report,gold_reviewed_stage06_v1,,,,,,,,,manual_gold_review,manual_gold_review,,2026-04-05T18:48:15.907955+00:00
121,FALSE,batch001,qa\validation\stage07_single_case_codex_gold\batch001\manifest.json,qa\validation\stage07_single_case_codex_gold\batch001\json\papers\121.json,qa\validation\stage07_single_case_codex_gold\batch001\json\segments\121.segments.json,qa\validation\stage07_single_case_codex_gold\batch001\json\target_views\121\p1.json,qa\validation\stage07_single_case_codex_gold\batch001\json\validation\121.validation.json,qa\validation\stage07_single_case_codex_gold\batch001\xml\121.annotated.xml,stage06_count_runs,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\candidate_packages\121.json,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\count_evidence\121.json,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\results\121.json,,121,Stiff-man syndrome associated with antecedent myasthenia gravis and organ-specific autoimmunopathy.,"Aso, Y; Sato, A; Narimatsu, M; Takiguchi, Y; Yamaguchi, Y; Inukai, T; Takemura, Y",single_case_report,case_report,data\extraction_json\text\121.json,full_text,true,1,high,case_report_marker_single_case,false,false,"challenge_stage=challenge | verification_status=llm_candidate_exact | llm_count_confidence=high | challenge_reasons=explicit_sps_subgroup_conflict=1 vs 5 | llm_selected_candidate_id=cand02 | This is a single-patient case report. The repeated phrase 'we describe a case' and 'the present case' clearly indicate one original SMS/SPS patient in this paper, whereas the '(5)' count refers to cited literature about prior SMS patients with GAD antibodies, not this paper's cohort.",hybrid_v2_gpt-5.4,5,high,diagnosis_specific_suffix_count,3,1,high,cand02,false,hybrid_local_gpt,llm_candidate_exact,,2026-04-18T10:42:11.327427+00:00
126,FALSE,batch001,qa\validation\stage07_single_case_codex_gold\batch001\manifest.json,qa\validation\stage07_single_case_codex_gold\batch001\json\papers\126.json,qa\validation\stage07_single_case_codex_gold\batch001\json\segments\126.segments.json,qa\validation\stage07_single_case_codex_gold\batch001\json\target_views\126\p1.json,qa\validation\stage07_single_case_codex_gold\batch001\json\validation\126.validation.json,qa\validation\stage07_single_case_codex_gold\batch001\xml\126.annotated.xml,stage06_count_runs,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\candidate_packages\126.json,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\count_evidence\126.json,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\results\126.json,,126,Stiff-man syndrome: possible autoimmune etiology targeted against GABA-ergic cells.,"Warich-Kirches, M; Von Bossanyi, P; Treuheit, T; Kirches, E; Dietzmann, K; Feistner, H; Wittig, H",single_case_report,case_report,data\extraction_json\text\126.json,full_text,true,1,high,single_case_text_signal,true,false,"challenge_stage=challenge | llm_semantic_conflict=COUNT_SPS_STATUS_UNCERTAIN | manual_review_gate=true | llm_count_confidence=high | challenge_reasons=semantic_validator_reject=COUNT_SPS_STATUS_UNCERTAIN | llm_selected_candidate_id=cand01 | validator_flags=COUNT_SPS_STATUS_UNCERTAIN | This is an original single-case report explicitly describing one female patient with stiff-man syndrome (older term for SPS). The additional controls and IDDM patients are comparator material, not SPS-spectrum cases, so the extractable SPS-spectrum count is 1.",hybrid_v2_gpt-5.4,1,medium,single_case_text_signal,3,1,high,cand01,false,hybrid_local_gpt,llm_semantic_conflict_manual_review_required,COUNT_SPS_STATUS_UNCERTAIN,2026-04-18T10:42:45.506429+00:00
127,FALSE,batch001,qa\validation\stage07_single_case_codex_gold\batch001\manifest.json,qa\validation\stage07_single_case_codex_gold\batch001\json\papers\127.json,qa\validation\stage07_single_case_codex_gold\batch001\json\segments\127.segments.json,qa\validation\stage07_single_case_codex_gold\batch001\json\target_views\127\p1.json,qa\validation\stage07_single_case_codex_gold\batch001\json\validation\127.validation.json,qa\validation\stage07_single_case_codex_gold\batch001\xml\127.annotated.xml,stage06_count_runs,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\candidate_packages\127.json,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\count_evidence\127.json,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\results\127.json,,127,Sporadic Stiffman syndrome in a young girl.,"Udani, V P; Dharnidharka, V R; Gajendragadkar, A R; Udani, S V",single_case_report,case_report,data\extraction_json\text\127.json,full_text,true,1,high,source_single_case_default,false,false,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=high | llm_selected_candidate_id=cand01 | This single-case report describes one original pediatric patient with Stiffman syndrome/SPS, supported by clinical features, EMG findings, and treatment response. The literature counts mentioned are background only and do not add additional original cases from this paper.",hybrid_v2_gpt-5.4,1,medium,source_single_case_default,2,1,high,cand01,false,hybrid_local_gpt,llm_candidate_exact,,2026-04-18T10:43:08.918107+00:00
150,FALSE,batch001,qa\validation\stage07_single_case_codex_gold\batch001\manifest.json,qa\validation\stage07_single_case_codex_gold\batch001\json\papers\150.json,qa\validation\stage07_single_case_codex_gold\batch001\json\segments\150.segments.json,qa\validation\stage07_single_case_codex_gold\batch001\json\target_views\150\p1.json,qa\validation\stage07_single_case_codex_gold\batch001\json\validation\150.validation.json,qa\validation\stage07_single_case_codex_gold\batch001\xml\150.annotated.xml,stage06_count_runs,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\candidate_packages\150.json,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\count_evidence\150.json,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\results\150.json,,150,Stiff-man syndrome in a child.,"Garzo, C; Perez-Sotelo, M; Traba, A; Esteban, A; Grandas, F; Munoz-Blanco, J L",single_case_report,case_report,data\extraction_json\text\150.json,full_text,true,1,high,single_case_text_signal,false,false,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=high | llm_selected_candidate_id=cand01 | This is a single-case report and the text explicitly states, ""We report a 6-year-old child"" with clinical and electrophysiological findings consistent with stiff-man syndrome. The subsequent case report section describes one patient only, with no indication of additional original SPS-spectrum cases.",hybrid_v2_gpt-5.4,1,medium,single_case_text_signal,2,1,high,cand01,false,hybrid_local_gpt,llm_candidate_exact,,2026-04-18T10:45:56.209929+00:00
155,TRUE,batch002,qa\validation\stage07_single_case_codex_gold\batch002\manifest.json,qa\validation\stage07_single_case_codex_gold\batch002\json\papers\155.json,qa\validation\stage07_single_case_codex_gold\batch002\json\segments\155.segments.json,qa\validation\stage07_single_case_codex_gold\batch002\json\target_views\155\p1.json,qa\validation\stage07_single_case_codex_gold\batch002\json\validation\155.validation.json,qa\validation\stage07_single_case_codex_gold\batch002\xml\155.annotated.xml,stage06_count_runs,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\candidate_packages\155.json,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\count_evidence\155.json,results\stage06_count_runs\stage06_backfill_b002_n50_20260418\results\155.json,,155,Humoral and cellular immune parameters before and during immunosuppressive therapy of a patient with stiff-man syndrome and insulin dependent diabetes mellitus.,"Hummel, M; Durinovic-Bello, I; Bonifacio, E; Lampasona, V; Endl, J; Fessele, S; Then Bergh, F; Trenkwalder, C; Standl, E; Ziegler, A G",single_case_report,case_report,data\extraction_json\text\155.json,full_text,true,1,medium,source_single_case_override,true,true,"challenge_stage=primary | verification_status=llm_candidate_exact | llm_count_confidence=medium | llm_selected_candidate_id=cand01 | The paper is a single-case report and repeatedly states that the immune findings were studied in 'a patient' with autoimmune stiff-man syndrome and IDDM, supporting 1 unique SPS-spectrum case. The apparent count of 2 arises from two autoantigens (GAD and IA-2), not two patients; however, provenance signals indicate some methods/samples were previously described, so manual review remains appropriate.",hybrid_v2_gpt-5.4,1,medium,source_single_case_override,4,1,medium,cand01,false,hybrid_local_gpt,llm_candidate_exact,,2026-04-18T10:46:55.977203+00:00
