publication_type,field,section,criterion_text,entry_guidance,inferred_type,accepted
Observ Cohort & Cross sect,exposures_measured_prior,Risk of Bias Assessment,"For the analyses in this paper, were the exposure(s) of interest measured prior to the outcome(s) being measured?","6. For the analyses in this paper, were the exposure(s) of interest measured prior to the outcome(s) being measured? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Observ Cohort & Cross sect,timeframe_sufficient,Risk of Bias Assessment,Was the timeframe sufficient so that one could reasonably expect to see an association between exposure and outcome if it existed?,"7. Was the timeframe sufficient so that one could reasonably expect to see an association between exposure and outcome if it existed? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Observ Cohort & Cross sect,exposure_levels,Risk of Bias Assessment,"For exposures that can vary in amount or level, did the study examine different levels of the exposure as related to the outcome (e.g., categories of exposure, or exposure measured as continuous variable)?","8. For exposures that can vary in amount or level, did the study examine different levels of the exposure as related to the outcome (e.g., categories of exposure, or exposure measured as continuous variable)? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Observ Cohort & Cross sect,exposure_measures_defined,Risk of Bias Assessment,"Were the exposure measures (independent variables) clearly defined, valid, reliable, and implemented consistently across all study participants?","9. Were the exposure measures (independent variables) clearly defined, valid, reliable, and implemented consistently across all study participants? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Observ Cohort & Cross sect,exposure_multiple_assessment,Risk of Bias Assessment,Was the exposure(s) assessed more than once over time?,"10. Was the exposure(s) assessed more than once over time? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Observ Cohort & Cross sect,outcome_defined,Risk of Bias Assessment,"Were the outcome measures (dependent variables) clearly defined, valid, reliable, and implemented consistently across all study participants?","11. Were the outcome measures (dependent variables) clearly defined, valid, reliable, and implemented consistently across all study participants? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Observ Cohort & Cross sect,blinded,Risk of Bias Assessment,Were the outcome assessors blinded to the exposure status of participants?,"12. Were the outcome assessors blinded to the exposure status of participants? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Observ Cohort & Cross sect,LTFU_20,Risk of Bias Assessment,Was loss to follow-up after baseline 20% or less?,"13. Was loss to follow-up after baseline 20% or less? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Observ Cohort & Cross sect,confounders_adjusted,Risk of Bias Assessment,Were key potential confounding variables measured and adjusted statistically for their impact on the relationship between exposure(s) and outcome(s)?,"14. Were key potential confounding variables measured and adjusted statistically for their impact on the relationship between exposure(s) and outcome(s)? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Observ Cohort & Cross sect,quality_assessment,Risk of Bias Assessment,,Quality assessment: select one of the following: - poor - fair - good,categorical,poor; fair; good
Observ Cohort & Cross sect,notes,Notes,,"Notes/Comments (if POOR, state why)",string,free text
Case Control,ID,Study Details,,Study ID,integer_or_string_id,
Case Control,extractor,Study Details,,Initials of extractor,string,
Case Control,first_author,Study Details,,First author's last name,string,
Case Control,pub_year,Study Details,,Publication Year,integer,4-digit year
Case Control,objective_stated,Risk of Bias Assessment,Was the study question or objective clearly stated and appropriate?,"1. Was the study question or objective clearly stated and appropriate? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Control,population_defined,Risk of Bias Assessment,Was the study population clearly specified and defined?,"2. Was the study population clearly specified and defined? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Control,sample_size_justification,Risk of Bias Assessment,Did the authors include a sample size justification?,"3. Did the authors include a sample size justification? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Control,controls_same_population,Risk of Bias Assessment,Were controls selected or recruited from the same or similar population that gave rise to the cases (including the same timeframe)?,"4. Were controls selected or recruited from the same or similar population that gave rise to the cases (including the same timeframe)? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Control,consistent_criteria,Risk of Bias Assessment,"Were the definitions, inclusion and exclusion criteria, algorithms or processes used to identify or select cases and controls valid, reliable, and implemented consistently across all study participants?","5. Were the definitions, inclusion and exclusion criteria, algorithms or processes used to identify or select cases and controls valid, reliable, and implemented consistently across all study participants? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Control,cases_clearly_defined,Risk of Bias Assessment,Were the cases clearly defined and differentiated from controls?,"6. Were the cases clearly defined and differentiated from controls? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Control,random_selection,Risk of Bias Assessment,"If less than 100 percent of eligible cases and/or controls were selected for the study, were the cases and/or controls randomly selected from those eligible?","7. If less than 100 percent of eligible cases and/or controls were selected for the study, were the cases and/or controls randomly selected from those eligible? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Control,concurrent_controls,Risk of Bias Assessment,Was there use of concurrent controls?,"8. Was there use of concurrent controls? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Control,exposure_occurred_prior,Risk of Bias Assessment,Were the investigators able to confirm that the exposure/risk occurred prior to the development of the condition or event that defined a participant as a case?,"9. Were the investigators able to confirm that the exposure/risk occurred prior to the development of the condition or event that defined a participant as a case? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Control,clear_measures_exposure,Risk of Bias Assessment,"Were the measures of exposure/risk clearly defined, valid, reliable, and implemented consistently (including the same time period) across all study participants?","10. Were the measures of exposure/risk clearly defined, valid, reliable, and implemented consistently (including the same time period) across all study participants? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Control,blinded,Risk of Bias Assessment,Were the assessors of exposure/risk blinded to the case or control status of participants?,"11. Were the assessors of exposure/risk blinded to the case or control status of participants? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Control,confounders_measured,Risk of Bias Assessment,1. Were key potential confounding variables measured and adjusted statistically in the analyses?,"12.1. Were key potential confounding variables measured and adjusted statistically in the analyses? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Control,matching_analysis,Risk of Bias Assessment,"2. If matching was used, did the investigators account for matching during study analysis?","12.2. If matching was used, did the investigators account for matching during study analysis? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Control,quality_assessment,Risk of Bias Assessment,,Quality assessment: select one of the following: - poor - fair - good,categorical,poor; fair; good
Case Control,notes,Notes,,"Notes/Comments (if POOR, state why)",string,free text
Case Series & Reports,ID,Study Details,,Study ID,integer_or_string_id,
Case Series & Reports,extractor,Study Details,,Initials of extractor,string,
Case Series & Reports,first_author,Study Details,,First author's last name,string,
Case Series & Reports,pub_year,Study Details,,Publication Year,integer,4-digit year
Case Series & Reports,objective_stated,Risk of Bias Assessment,Was the study question or objective clearly stated?,"1. Was the study question or objective clearly stated? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Series & Reports,population_described,Risk of Bias Assessment,"Was the study population clearly and fully described, including a case definition?","2. Was the study population clearly and fully described, including a case definition? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Series & Reports,cases_consecutive,Risk of Bias Assessment,Were the cases consecutive?,"3. Were the cases consecutive? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Series & Reports,subjects_comparable,Risk of Bias Assessment,Were the subjects comparable?,"4. Were the subjects comparable? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Series & Reports,intervention_described,Risk of Bias Assessment,Was the intervention clearly described?,"5. Was the intervention clearly described? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Series & Reports,outcome_defined,Risk of Bias Assessment,"Were the outcome measures clearly defined, valid, reliable, and implemented consistently across all study participants?","6. Were the outcome measures clearly defined, valid, reliable, and implemented consistently across all study participants? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Series & Reports,adequate_FU,Risk of Bias Assessment,Was the length of follow-up adequate?,"7. Was the length of follow-up adequate? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Series & Reports,stats_welldescribed,Risk of Bias Assessment,Were the statistical methods well-described?,"8. Were the statistical methods well-described? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Series & Reports,results_welldescribed,Risk of Bias Assessment,Were the results well-described?,"9. Were the results well-described? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Case Series & Reports,quality_assessment,Risk of Bias Assessment,,Quality assessment: select one of the following: - poor - fair - good,categorical,poor; fair; good
Case Series & Reports,notes,Notes,,"Notes/Comments (if POOR, state why)",string,free text
Before-After (Pre-Post) N contr,ID,Study Details,,Study ID,integer_or_string_id,
Before-After (Pre-Post) N contr,extractor,Study Details,,Initials of extractor,string,
Before-After (Pre-Post) N contr,first_author,Study Details,,First author's last name,string,
Before-After (Pre-Post) N contr,pub_year,Study Details,,Publication Year,integer,4-digit year
Before-After (Pre-Post) N contr,objective_stated,Risk of Bias Assessment,Was the study question or objective clearly stated?,"1. Was the study question or objective clearly stated? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Before-After (Pre-Post) N contr,criteria_stated,Risk of Bias Assessment,Were eligibility/selection criteria for the study population prespecified and clearly described?,"2. Were eligibility/selection criteria for the study population prespecified and clearly described? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Before-After (Pre-Post) N contr,representative,Risk of Bias Assessment,Were the participants in the study representative of those who would be eligible for the test/service/intervention in the general or clinical population of interest?,"3. Were the participants in the study representative of those who would be eligible for the test/service/intervention in the general or clinical population of interest? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Before-After (Pre-Post) N contr,all_enrolled,Risk of Bias Assessment,Were all eligible participants that met the prespecified entry criteria enrolled?,"4. Were all eligible participants that met the prespecified entry criteria enrolled? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Before-After (Pre-Post) N contr,size_adequate,Risk of Bias Assessment,Was the sample size sufficiently large to provide confidence in the findings?,"5. Was the sample size sufficiently large to provide confidence in the findings? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Before-After (Pre-Post) N contr,clearly_described,Risk of Bias Assessment,Was the test/service/intervention clearly described and delivered consistently across the study population?,"6. Was the test/service/intervention clearly described and delivered consistently across the study population? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Before-After (Pre-Post) N contr,outcome_defined,Risk of Bias Assessment,"Were the outcome measures prespecified, clearly defined, valid, reliable, and assessed consistently across all study participants?","7. Were the outcome measures prespecified, clearly defined, valid, reliable, and assessed consistently across all study participants? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Before-After (Pre-Post) N contr,blinded,Risk of Bias Assessment,Were the people assessing the outcomes blinded to the participants' exposures/interventions?,"8. Were the people assessing the outcomes blinded to the participants' exposures/interventions? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Before-After (Pre-Post) N contr,loss_to_FU,Risk of Bias Assessment,1. Was the loss to follow-up after baseline 20% or less?,"9.1. Was the loss to follow-up after baseline 20% or less? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Before-After (Pre-Post) N contr,LTFU_accounted,Risk of Bias Assessment,2. Were those lost to follow-up accounted for in the analysis?,"9.2. Were those lost to follow-up accounted for in the analysis? 0 = no 1 = yes (including studies with NO loss to follow-up) NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Before-After (Pre-Post) N contr,stats_for_change,Risk of Bias Assessment,1. Did the statistical methods examine changes in outcome measures from before to after the intervention?,"10.1. Did the statistical methods examine changes in outcome measures from before to after the intervention? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Before-After (Pre-Post) N contr,pvalues_provided,Risk of Bias Assessment,2. Were statistical tests done that provided p-values for the pre-to-post changes?,"10.2. Were statistical tests done that provided p-values for the pre-to-post changes? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Before-After (Pre-Post) N contr,interrupted_timeseries,Risk of Bias Assessment,"Were outcome measures of interest taken multiple times before the intervention and multiple times after the intervention (i.e., did they use an interrupted time-series design)?","11. Were outcome measures of interest taken multiple times before the intervention and multiple times after the intervention (i.e., did they use an interrupted time-series design)? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Before-After (Pre-Post) N contr,group_effects,Risk of Bias Assessment,"If the intervention was conducted at a group level (e.g., a whole hospital, a community, etc.) did the statistical analysis take into account the use of individual-level data to determine effects at the group level?","12. If the intervention was conducted at a group level (e.g., a whole hospital, a community, etc.) did the statistical analysis take into account the use of individual-level data to determine effects at the group level? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Before-After (Pre-Post) N contr,quality_assessment,Risk of Bias Assessment,,Quality assessment: select one of the following: - poor - fair - good,categorical,poor; fair; good
Before-After (Pre-Post) N contr,notes,Notes,,"Notes/Comments (if POOR, state why)",string,free text
Controlled Intervention Studies,ID,Study Details,,Study ID,integer_or_string_id,
Controlled Intervention Studies,extractor,Study Details,,Initials of extractor,string,
Controlled Intervention Studies,first_author,Study Details,,First author's last name,string,
Controlled Intervention Studies,pub_year,Study Details,,Publication Year,integer,4-digit year
Controlled Intervention Studies,randomised,Risk of Bias Assessment,"Was the study described as randomized, a randomized trial, a randomized clinical trial, or an RCT?","1. Was the study described as randomized, a randomized trial, a randomized clinical trial, or an RCT? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Controlled Intervention Studies,adequate_randomisation,Risk of Bias Assessment,"Was the method of randomization adequate (i.e., use of randomly generated assignment)?","2. Was the method of randomization adequate (i.e., use of randomly generated assignment)? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Controlled Intervention Studies,treatment_allocation_concealed,Risk of Bias Assessment,Was the treatment allocation concealed (so that assignments could not be predicted)?,"3. Was the treatment allocation concealed (so that assignments could not be predicted)? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Controlled Intervention Studies,participants_blinded,Risk of Bias Assessment,Were study participants and providers blinded to treatment group assignment?,"4. Were study participants and providers blinded to treatment group assignment? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Controlled Intervention Studies,assessors_blinded,Risk of Bias Assessment,Were the people assessing the outcomes blinded to the participants' group assignments?,"5. Were the people assessing the outcomes blinded to the participants' group assignments? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Controlled Intervention Studies,similar_baseline,Risk of Bias Assessment,"Were the groups similar at baseline on important characteristics that could affect outcomes (e.g., demographics, risk factors, co-morbid conditions)?","6. Were the groups similar at baseline on important characteristics that could affect outcomes (e.g., demographics, risk factors, co-morbid conditions)? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Controlled Intervention Studies,dropout_20,Risk of Bias Assessment,Was the overall drop-out rate from the study at endpoint 20% or lower of the number allocated to treatment?,"7. Was the overall drop-out rate from the study at endpoint 20% or lower of the number allocated to treatment? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Controlled Intervention Studies,diff_dropout_15,Risk of Bias Assessment,Was the differential drop-out rate (between treatment groups) at endpoint 15 percentage points or lower?,"8. Was the differential drop-out rate (between treatment groups) at endpoint 15 percentage points or lower? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Controlled Intervention Studies,intervention_high_adherence,Risk of Bias Assessment,Was there high adherence to the intervention protocols for each treatment group?,"9. Was there high adherence to the intervention protocols for each treatment group? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Controlled Intervention Studies,other_interventions_avoided,Risk of Bias Assessment,"Were other interventions avoided or similar in the groups (e.g., similar background treatments)?","10. Were other interventions avoided or similar in the groups (e.g., similar background treatments)? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Controlled Intervention Studies,realiable_measures,Risk of Bias Assessment,"Were outcomes assessed using valid and reliable measures, implemented consistently across all study participants?","11. Were outcomes assessed using valid and reliable measures, implemented consistently across all study participants? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Controlled Intervention Studies,sufficient_sample_size,Risk of Bias Assessment,Did the authors report that the sample size was sufficiently large to be able to detect a difference in the main outcome between groups with at least 80% power?,"12. Did the authors report that the sample size was sufficiently large to be able to detect a difference in the main outcome between groups with at least 80% power? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Controlled Intervention Studies,outcomes_prespecified,Risk of Bias Assessment,"Were outcomes reported or subgroups analyzed prespecified (i.e., identified before analyses were conducted)?","13. Were outcomes reported or subgroups analyzed prespecified (i.e., identified before analyses were conducted)? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Controlled Intervention Studies,intention_to_treat,Risk of Bias Assessment,"Were all randomized participants analyzed in the group to which they were originally assigned, i.e., did they use an intention-to-treat analysis?","14. Were all randomized participants analyzed in the group to which they were originally assigned, i.e., did they use an intention-to-treat analysis? 0 = no 1 = yes NA = CD, cannot determine; NA, not applicable; NR, not reported",binary_ordinal,0; 1; CD; NA; NR
Controlled Intervention Studies,quality_assessment,Risk of Bias Assessment,,Quality assessment: select one of the following: - poor - fair - good,categorical,poor; fair; good
Controlled Intervention Studies,notes,Notes,,"Notes/Comments (if POOR, state why)",string,free text
Data Extraction,ID,,,Study ID,integer_or_string_id,
Data Extraction,extractor,,,Initials of extractor,string,
Data Extraction,first_author,STUDY DETAILS,,First author's last name,string,
Data Extraction,pub_year,STUDY DETAILS,,Publication year,integer,4-digit year
Data Extraction,country,STUDY DETAILS,,Country/Countries where study was conducted,string,Country/Countries where study was conducted
Data Extraction,study_design,Study Characteristics,,"Study Design (for case reports or small series, use the case report form)",string,"Study Design (for case reports or small series, use the case report form)"
Data Extraction,aims,Study Characteristics,,Aims of the Study,string,Aims of the Study
Data Extraction,participant_number,Study Characteristics,,Number of participants,string,Number of participants
Data Extraction,age_central_measure,Study Characteristics,,"Age - measure of central tendency. Select one of the following: - mean - median NA = not available, NR, not reported",categorical,"mean; median; NA (not available, NR, not reported)"
Data Extraction,age_central,Study Characteristics,,Age - value of central tendency (numeric),number,numeric
Data Extraction,age_variability_measure,Population Characteristics,,"Age - measure of variability (listed in order of preference) SD = standard deviation (1st preference) SE = standard error (2nd) 95CI = 95% confidence interval (3rd) IQR = interquartile range range = range (5th) NA = not available, not reported (6th)",categorical,"SD (standard deviation (1st preference)); SE (standard error (2nd)); 95CI (95% confidence interval (3rd)); IQR (interquartile range); range (range (5th)); NA (not available, not reported (6th))"
Data Extraction,age_variability,Population Characteristics,,Age - value(s) of variability,string,Age - value(s) of variability
Data Extraction,ethnicity,Population Characteristics,,"Ethnicity (select one) - white = White/Caucasian - africa = African/ Afro-Caribbean - E_asia = East Asia (Japan, Korea, China) - S_asia = South Asia (India, Pakistan, Bangladesh, Sri Lanka) - SE_asia = South East Asian (everything East of India and South of China which will cover Thailand, Malaysia, Singapore) - latin = Latin American (non-African origin; central and S America, without Caribbean) - other = other (specify in next column)",string,"Ethnicity (select one) - white = White/Caucasian - africa = African/ Afro-Caribbean - E_asia = East Asia (Japan, Korea, China) - S_asia = South Asia (India, Pakistan, Bangladesh, Sri Lanka) - SE_asia = South East Asian (everything East of India and South of China which will cover Thailand, Malaysia, Singapore) - latin = Latin American (non-African origin; central and S America, without Caribbean) - other = other (specify in next column)"
Data Extraction,ethnicity_specify,Population Characteristics,,"Ethnicity (specify) If you selected ""other"", specify with text. Otherwise leave blank.",string,"Ethnicity (specify) If you selected ""other"", specify with text. Otherwise leave blank."
Data Extraction,percent_males,Population Characteristics,,"Percent Males Male patients/Total patients. List the value to two decimal places (e.g. ""45.55"")",string,"Percent Males Male patients/Total patients. List the value to two decimal places (e.g. ""45.55"")"
Data Extraction,included_diagnosis,Population Characteristics,,"Diagnosis of participants included (select) - Stiff_Person - Stiff_Limb - PERM - new_category = new category if identified, specify - mixed = mixed population - other = other, specify in next column - NA = not available, NR, not reported",categorical,Stiff_Person; Stiff_Limb; PERM
Data Extraction,included_diagnosis_specify,Population Characteristics,,"Diagnosis (specify) If you selected new_category or other, specify with text",string,"Diagnosis (specify) If you selected new_category or other, specify with text"
Data Extraction,diagnostic_criteria,Population Characteristics,,Criteria used to make the diagnosis Provide below the details of the criteria used to make the diagnosis - copy and paste from text if needed (no special characters),string,Criteria used to make the diagnosis Provide below the details of the criteria used to make the diagnosis - copy and paste from text if needed (no special characters)
Data Extraction,disease_severity,Population Characteristics,,Disease Severity If the study recruited patients with a specified severity - Copy and paste from manuscript the explanation of severity and how this was defined.,string,Disease Severity If the study recruited patients with a specified severity - Copy and paste from manuscript the explanation of severity and how this was defined.
Data Extraction,first_manifestation,Population Characteristics,,"First manifestation If study reports first symptoms of a group of participants, copy and paste below from the manuscript. If details for individual cases provided, use case report form.",string,"First manifestation If study reports first symptoms of a group of participants, copy and paste below from the manuscript. If details for individual cases provided, use case report form."
Data Extraction,spsd_symptom,Disease Characteristics,,"SPSD symptoms in early disease (select) - stiffness - spasms - startle = excessive startle - multiple = multiple, specify in next col - other = other, specify in next col",categorical,stiffness; spasms
Data Extraction,spsd_symptom_multiple,Disease Characteristics,,"Additional data for previous column - if multiple symptoms reported List symptoms as text, separated with semicolons. Otherwise, leave blank.",string,"Additional data for previous column - if multiple symptoms reported List symptoms as text, separated with semicolons. Otherwise, leave blank."
Data Extraction,spsd_symptom_other,Disease Characteristics,,"Additional data for previous column - if other symptoms reported List symptoms as text, separated with semicolons. Otherwise, leave blank.",string,"Additional data for previous column - if other symptoms reported List symptoms as text, separated with semicolons. Otherwise, leave blank."
Data Extraction,stiffness_onset_distribution,Disease Characteristics,,"Stiffness distribution at onset (select) - lumb_prox_LE = lumbar/proximal legs - distal_LE = distal leg(s) - UE = arm(s) / upper extremity - axial = axial(thoracic,neck) - multiple = multiple, but not generalised (specify in next col) - generalised = generalised - other = other, specify in next col",string,"Stiffness distribution at onset (select) - lumb_prox_LE = lumbar/proximal legs - distal_LE = distal leg(s) - UE = arm(s) / upper extremity - axial = axial(thoracic,neck) - multiple = multiple, but not generalised (specify in next col) - generalised = generalised - other = other, specify in next col"
Data Extraction,stiffness_onset_distribution_multiple,Disease Characteristics,,"Stiffness at onset (multiple) If ""multiple"" was selected, list as text, separated by semicolons. Otherwise, leave blank.",string,"Stiffness at onset (multiple) If ""multiple"" was selected, list as text, separated by semicolons. Otherwise, leave blank."
Data Extraction,stiffness_onset_distribution_other,Disease Characteristics,,"Stiffness at onset (other) If ""other"" was selected, specify with text. Otherwise, leave blank.",string,"Stiffness at onset (other) If ""other"" was selected, specify with text. Otherwise, leave blank."
Data Extraction,startle_stimulus,Disease Characteristics,,Excessive startle (select) - touch = to touch - noise = to noise - visual = to visual stimuli,string,Excessive startle (select) - touch = to touch - noise = to noise - visual = to visual stimuli
